Date,Close,Volume
1995-01-06,4.0,29500
1995-01-13,4.0,52900
1995-01-20,3.75,14700
1995-01-27,3.875,39100
1995-02-03,4.375,114600
1995-02-10,4.625,64200
1995-02-17,4.625,42600
1995-02-24,4.625,56300
1995-03-03,4.438000202178955,121000
1995-03-10,4.625,17800
1995-03-17,4.625,48600
1995-03-24,4.625,48000
1995-03-31,4.0,83000
1995-04-07,4.0,25900
1995-04-14,4.125,51300
1995-04-21,4.0,43300
1995-04-28,4.188000202178955,36700
1995-05-05,4.25,41500
1995-05-12,4.063000202178955,68800
1995-05-19,3.875,61600
1995-05-26,4.063000202178955,54300
1995-06-02,4.0,23800
1995-06-09,3.875,43800
1995-06-16,3.937999963760376,48000
1995-06-23,4.0,34900
1995-06-30,4.0,66000
1995-07-07,3.875,110900
1995-07-14,3.875,119000
1995-07-21,3.875,47800
1995-07-28,3.75,42500
1995-08-04,3.625,28300
1995-08-11,3.875,25400
1995-08-18,3.875,42100
1995-08-25,3.625,60600
1995-09-01,3.5,99500
1995-09-08,3.5,82100
1995-09-15,3.375,96800
1995-09-22,3.421999931335449,150400
1995-09-29,4.0,365100
1995-10-06,3.75,123500
1995-10-13,3.75,10800
1995-10-20,4.125,39200
1995-10-27,3.875,41000
1995-11-03,4.0,38400
1995-11-10,4.75,415100
1995-11-17,4.75,343700
1995-11-24,4.75,101400
1995-12-01,4.625,149400
1995-12-08,4.5,156000
1995-12-15,4.563000202178955,170100
1995-12-22,4.75,179600
1995-12-29,5.125,179500
1996-01-05,5.125,62600
1996-01-12,5.0,155400
1996-01-19,5.75,226600
1996-01-26,4.75,120200
1996-02-02,5.0,69300
1996-02-09,4.75,100500
1996-02-16,4.75,53300
1996-02-23,5.25,102800
1996-03-01,5.25,86200
1996-03-08,5.063000202178955,74600
1996-03-15,5.0,222300
1996-03-22,5.75,681300
1996-03-29,6.0,246300
1996-04-05,6.438000202178955,267600
1996-04-12,6.5,521600
1996-04-19,7.25,598200
1996-04-26,7.75,449900
1996-05-03,8.125,336300
1996-05-10,8.375,382500
1996-05-17,8.625,521200
1996-05-24,8.5,367900
1996-05-31,8.125,106100
1996-06-07,7.25,248700
1996-06-14,7.125,119900
1996-06-21,7.375,206500
1996-06-28,8.0,212600
1996-07-05,8.375,164600
1996-07-12,7.0,206800
1996-07-19,6.75,207400
1996-07-26,6.125,66300
1996-08-02,6.25,58800
1996-08-09,7.5,252400
1996-08-16,7.375,94200
1996-08-23,7.0,126100
1996-08-30,6.75,70900
1996-09-06,6.5,56100
1996-09-13,6.5,37000
1996-09-20,6.5,54800
1996-09-27,6.0,190700
1996-10-04,6.0,157900
1996-10-11,6.625,95600
1996-10-18,6.625,137800
1996-10-25,6.875,62300
1996-11-01,6.875,93400
1996-11-08,7.563000202178955,120600
1996-11-15,7.875,206600
1996-11-22,7.75,74200
1996-11-29,7.125,122800
1996-12-06,7.375,103700
1996-12-13,8.0,118900
1996-12-20,7.75,107700
1996-12-27,7.875,77600
1997-01-03,7.75,69000
1997-01-10,7.75,63400
1997-01-17,7.25,88900
1997-01-24,7.125,102500
1997-01-31,7.125,92500
1997-02-07,6.25,208100
1997-02-14,6.625,258300
1997-02-21,7.0,86900
1997-02-28,7.125,116600
1997-03-07,7.5,62500
1997-03-14,7.875,263000
1997-03-21,7.188000202178955,114800
1997-03-28,6.875,39900
1997-04-04,6.875,79700
1997-04-11,6.875,53000
1997-04-18,7.25,42200
1997-04-25,6.438000202178955,259800
1997-05-02,7.5,500300
1997-05-09,7.0,185900
1997-05-16,6.875,82300
1997-05-23,6.938000202178955,381600
1997-05-30,6.875,111000
1997-06-06,7.0,190500
1997-06-13,7.25,318000
1997-06-20,8.125,328500
1997-06-27,8.0,344600
1997-07-04,8.125,298200
1997-07-11,7.25,134300
1997-07-18,7.25,130400
1997-07-25,7.25,2588500
1997-08-01,7.75,1792700
1997-08-08,7.875,971700
1997-08-15,7.563000202178955,418200
1997-08-22,8.0,753000
1997-08-29,8.375,700500
1997-09-05,8.5,351500
1997-09-12,8.375,196100
1997-09-19,8.875,930900
1997-09-26,7.813000202178955,1003000
1997-10-03,8.0,346100
1997-10-10,8.0,1254200
1997-10-17,7.875,853900
1997-10-24,7.75,382400
1997-10-31,7.5,196500
1997-11-07,7.125,567900
1997-11-14,6.75,1200900
1997-11-21,7.063000202178955,459300
1997-11-28,6.813000202178955,607800
1997-12-05,7.125,639100
1997-12-12,6.813000202178955,437700
1997-12-19,6.75,766200
1997-12-26,6.563000202178955,420900
1998-01-02,6.75,884700
1998-01-09,6.625,617300
1998-01-16,6.875,694000
1998-01-23,7.063000202178955,646100
1998-01-30,6.938000202178955,281900
1998-02-06,8.0,881400
1998-02-13,7.75,551300
1998-02-20,7.563000202178955,776000
1998-02-27,7.125,564600
1998-03-06,7.093999862670898,369100
1998-03-13,7.063000202178955,698500
1998-03-20,7.375,969000
1998-03-27,8.0,624800
1998-04-03,7.75,901800
1998-04-10,7.938000202178955,198300
1998-04-17,7.625,274200
1998-04-24,7.25,234400
1998-05-01,7.0,372100
1998-05-08,7.015999794006348,868900
1998-05-15,6.625,393800
1998-05-22,6.125,2039200
1998-05-29,6.031000137329102,825800
1998-06-05,5.938000202178955,1755700
1998-06-12,6.0,232900
