Date,Close,Volume
1995-01-06,3.5,20400
1995-01-13,3.375,107200
1995-01-20,3.25,294400
1995-01-27,3.40625,140800
1995-02-03,3.59375,291200
1995-02-10,3.46875,260800
1995-02-17,3.625,358800
1995-02-24,3.625,205200
1995-03-03,3.625,460000
1995-03-10,3.59375,246000
1995-03-17,3.90625,601200
1995-03-24,3.9375,158000
1995-03-31,3.875,100800
1995-04-07,3.875,354000
1995-04-14,3.875,92400
1995-04-21,3.890625,150800
1995-04-28,4.0,346400
1995-05-05,4.0,811200
1995-05-12,3.9375,353200
1995-05-19,4.109375,1194000
1995-05-26,4.125,803600
1995-06-02,4.3125,340000
1995-06-09,4.375,317200
1995-06-16,4.25,104800
1995-06-23,4.328125,728400
1995-06-30,4.6875,552000
1995-07-07,4.5625,470800
1995-07-14,5.0,316800
1995-07-21,4.84375,197600
1995-07-28,4.875,1210800
1995-08-04,4.8125,298800
1995-08-11,4.8125,558400
1995-08-18,4.78125,296400
1995-08-25,4.875,799600
1995-09-01,5.0625,150800
1995-09-08,4.9375,229600
1995-09-15,5.0,80800
1995-09-22,5.03125,142800
1995-09-29,5.03125,26000
1995-10-06,4.875,352400
1995-10-13,4.8125,70000
1995-10-20,4.90625,47200
1995-10-27,4.8125,127200
1995-11-03,4.8125,72400
1995-11-10,4.9375,54400
1995-11-17,4.8125,192800
1995-11-24,4.71875,175600
1995-12-01,4.6875,81600
1995-12-08,4.8125,84000
1995-12-15,4.6875,82800
1995-12-22,4.8125,41200
1995-12-29,4.875,264400
1996-01-05,4.875,247600
1996-01-12,4.875,250000
1996-01-19,5.125,322400
1996-01-26,5.53125,2582000
1996-02-02,5.375,552800
1996-02-09,5.3125,268400
1996-02-16,5.40625,148400
1996-02-23,5.8125,578800
1996-03-01,6.4375,797200
1996-03-08,6.375,473200
1996-03-15,6.5625,318400
1996-03-22,6.71875,207600
1996-03-29,6.6875,216800
1996-04-05,6.5625,250000
1996-04-12,6.65625,246000
1996-04-19,6.6875,447600
1996-04-26,7.0625,260800
1996-05-03,7.0,122800
1996-05-10,7.25,288400
1996-05-17,7.1875,387600
1996-05-24,7.3125,109200
1996-05-31,7.0,119200
1996-06-07,6.8125,58400
1996-06-14,6.875,154400
1996-06-21,6.875,76400
1996-06-28,6.875,302800
1996-07-05,6.8125,91600
1996-07-12,6.875,527200
1996-07-19,7.125,154400
1996-07-26,7.03125,828800
1996-08-02,7.1875,183600
1996-08-09,7.1875,50000
1996-08-16,7.5,211200
1996-08-23,7.46875,97200
1996-08-30,7.5625,314000
1996-09-06,7.4375,541200
1996-09-13,7.0,124000
1996-09-20,7.1875,96800
1996-09-27,7.15625,53600
1996-10-04,7.375,144000
1996-10-11,7.5,53600
1996-10-18,7.375,126400
1996-10-25,7.40625,68800
1996-11-01,7.5,88800
1996-11-08,7.3125,31200
1996-11-15,7.375,134000
1996-11-22,7.25,105200
1996-11-29,7.15625,88000
1996-12-06,7.1875,181600
1996-12-13,6.96875,280000
1996-12-20,7.25,68800
1996-12-27,7.3125,25600
1997-01-03,7.3125,88800
1997-01-10,7.3125,53200
1997-01-17,7.1875,266800
1997-01-24,7.21875,160800
1997-01-31,7.09375,570800
1997-02-07,7.125,112800
1997-02-14,7.1875,54000
1997-02-21,7.15625,839600
1997-02-28,7.125,732000
1997-03-07,7.125,142800
1997-03-14,7.1875,298800
1997-03-21,7.375,476800
1997-03-28,7.625,138800
1997-04-04,7.75,429600
1997-04-11,7.3125,346400
1997-04-18,7.25,63600
1997-04-25,7.3125,109200
1997-05-02,7.375,217600
1997-05-09,7.375,262800
1997-05-16,7.40625,122800
1997-05-23,7.96875,453600
1997-05-30,8.5625,194800
1997-06-06,8.5,202400
1997-06-13,8.375,537200
1997-06-20,8.625,290400
1997-06-27,8.875,399600
1997-07-04,9.4375,280000
1997-07-11,9.5625,169600
1997-07-18,9.9375,118000
1997-07-25,9.75,197200
1997-08-01,10.03125,168000
1997-08-08,10.125,186400
1997-08-15,9.875,360000
1997-08-22,10.1875,145200
1997-08-29,9.6875,128400
1997-09-05,9.90625,57200
1997-09-12,10.1875,22400
1997-09-19,9.875,104000
1997-09-26,9.75,47600
1997-10-03,9.875,78000
1997-10-10,10.15625,233200
1997-10-17,10.28125,185200
1997-10-24,10.0,172800
1997-10-31,10.625,518400
1997-11-07,10.34375,72400
1997-11-14,10.625,66000
1997-11-21,10.59375,58000
1997-11-28,10.65625,47600
1997-12-05,10.71875,113600
1997-12-12,10.4375,206400
1997-12-19,10.5625,40400
1997-12-26,11.125,37200
1998-01-02,11.125,368000
1998-01-09,10.601563453674316,90000
1998-01-16,10.46875,93200
1998-01-23,10.0,118800
1998-01-30,10.703125,811200
1998-02-06,10.625,461600
1998-02-13,10.65625,341600
1998-02-20,10.5,822800
1998-02-27,10.5,186800
1998-03-06,10.609375,49200
1998-03-13,10.6875,18000
1998-03-20,10.0,373200
1998-03-27,10.25,214400
1998-04-03,10.375,67200
1998-04-10,10.28125,221200
1998-04-17,10.3125,95200
1998-04-24,10.9375,886400
1998-05-01,11.5,385600
1998-05-08,12.125,275600
1998-05-15,12.375,418400
1998-05-22,12.4375,152800
1998-05-29,12.421875,476800
1998-06-05,12.75,286400
1998-06-12,12.4375,220800
1998-06-19,12.5,605200
1998-06-26,12.25,697200
1998-07-03,12.125,130600
1998-07-10,11.78125,310600
1998-07-17,12.375,257400
1998-07-24,12.0,103400
1998-07-31,11.0,82000
1998-08-07,12.1875,434200
1998-08-14,11.5,39400
1998-08-21,12.5,99400
1998-08-28,12.5625,567000
1998-09-04,13.90625,340400
1998-09-11,13.5,114200
1998-09-18,13.375,106200
1998-09-25,13.515625,336800
1998-10-02,12.734375,146200
1998-10-09,13.25,440200
1998-10-16,14.5,424200
1998-10-23,16.0,371800
1998-10-30,13.8125,278400
1998-11-06,13.9375,352200
1998-11-13,13.875,55000
1998-11-20,14.0,191800
1998-11-27,14.875,156400
1998-12-04,15.25,154200
1998-12-11,14.8125,131200
1998-12-18,14.4375,364800
1998-12-25,14.125,30200
1999-01-01,15.75,171600
1999-01-08,15.40625,103600
1999-01-15,14.75,239200
1999-01-22,13.53125,78000
1999-01-29,14.125,402400
