Date,Close,Volume
1995-01-06,2.25,27400
1995-01-13,2.25,31500
1995-01-20,2.3125,85600
1995-01-27,2.5,17200
1995-02-03,2.375,38500
1995-02-10,2.4375,28600
1995-02-17,2.546875,53200
1995-02-24,2.4375,22900
1995-03-03,2.4375,51000
1995-03-10,2.375,67800
1995-03-17,2.5625,53300
1995-03-24,2.5,34200
1995-03-31,2.625,25300
1995-04-07,2.8125,37200
1995-04-14,2.75,32000
1995-04-21,2.6875,79700
1995-04-28,2.625,27100
1995-05-05,2.625,40800
1995-05-12,3.0,20500
1995-05-19,2.8125,14500
1995-05-26,2.9375,26200
1995-06-02,2.8125,5100
1995-06-09,3.1875,120800
1995-06-16,3.4375,144200
1995-06-23,3.375,75500
1995-06-30,3.5,81000
1995-07-07,3.625,28200
1995-07-14,3.375,45400
1995-07-21,3.5625,54600
1995-07-28,3.5,79700
1995-08-04,3.5625,115500
1995-08-11,3.6875,46600
1995-08-18,3.6875,31100
1995-08-25,3.6875,38700
1995-09-01,3.5625,34100
1995-09-08,4.25,86900
1995-09-15,3.75,48100
1995-09-22,4.125,48800
1995-09-29,4.0,58900
1995-10-06,3.9375,28000
1995-10-13,4.125,41400
1995-10-20,4.125,83500
1995-10-27,4.125,50500
1995-11-03,4.125,45700
1995-11-10,4.125,47900
1995-11-17,4.125,57500
1995-11-24,4.25,38800
1995-12-01,4.25,36100
1995-12-08,4.375,136100
1995-12-15,4.375,21000
1995-12-22,4.375,30000
1995-12-29,4.625,16600
1996-01-05,4.375,26400
1996-01-12,4.375,56100
1996-01-19,4.25,99800
1996-01-26,4.375,10700
1996-02-02,5.0,135700
1996-02-09,5.25,181800
1996-02-16,5.25,161100
1996-02-23,5.375,72900
1996-03-01,6.25,360600
1996-03-08,6.75,141200
1996-03-15,7.8125,626200
1996-03-22,7.625,193000
1996-03-29,7.25,321500
1996-04-05,7.75,107600
1996-04-12,7.125,66700
1996-04-19,7.125,106600
1996-04-26,6.625,208400
1996-05-03,7.125,123800
1996-05-10,7.375,51400
1996-05-17,8.375,438000
1996-05-24,9.125,809200
