Date,Close,Volume
1995-11-24,32.5,4566100
1995-12-01,27.75,1273600
1995-12-08,25.625,549100
1995-12-15,24.75,380400
1995-12-22,22.625,391000
1995-12-29,23.75,533500
1996-01-05,24.0,188500
1996-01-12,23.25,182200
1996-01-19,22.25,181800
1996-01-26,21.5,234100
1996-02-02,21.125,103300
1996-02-09,18.375,401400
1996-02-16,21.375,382500
1996-02-23,21.375,86700
1996-03-01,21.375,269500
1996-03-08,20.125,118900
1996-03-15,18.875,352100
1996-03-22,20.5,349600
1996-03-29,20.125,178300
1996-04-05,20.375,81300
1996-04-12,18.75,147300
1996-04-19,19.125,215800
1996-04-26,18.875,834400
1996-05-03,18.875,290600
1996-05-10,18.875,110900
1996-05-17,18.625,256000
1996-05-24,18.75,292400
1996-05-31,18.75,179200
1996-06-07,18.375,315200
1996-06-14,20.125,530200
1996-06-21,20.375,254500
1996-06-28,24.0,574300
1996-07-05,22.875,247800
1996-07-12,21.625,210900
1996-07-19,21.125,217700
1996-07-26,22.625,350800
1996-08-02,22.75,193300
1996-08-09,21.625,129100
1996-08-16,21.75,55300
1996-08-23,21.0,41100
1996-08-30,20.875,31700
1996-09-06,20.625,53500
1996-09-13,20.125,59700
1996-09-20,19.375,124300
1996-09-27,19.0,75500
1996-10-04,20.125,101900
1996-10-11,19.75,177300
1996-10-18,16.375,272400
1996-10-25,12.625,1384200
1996-11-01,12.125,219200
1996-11-08,11.875,228000
1996-11-15,11.625,142900
1996-11-22,11.75,96300
1996-11-29,11.375,139700
1996-12-06,11.5,265000
1996-12-13,11.375,226400
1996-12-20,10.375,220600
1996-12-27,10.25,273700
1997-01-03,10.875,301200
1997-01-10,10.125,115700
1997-01-17,9.75,108500
1997-01-24,10.125,323100
1997-01-31,10.375,185900
1997-02-07,10.375,78100
1997-02-14,9.875,80400
1997-02-21,9.625,131200
1997-02-28,9.25,170100
1997-03-07,9.125,149200
1997-03-14,8.625,139700
1997-03-21,8.375,163600
1997-03-28,8.25,111700
1997-04-04,9.375,163700
1997-04-11,9.625,84300
1997-04-18,9.875,70000
1997-04-25,9.375,151500
1997-05-02,9.5,145200
1997-05-09,8.75,204800
1997-05-16,8.875,123500
1997-05-23,9.125,63100
1997-05-30,9.0,101800
1997-06-06,9.375,171700
1997-06-13,9.875,239600
1997-06-20,10.25,223500
1997-06-27,10.0,160500
1997-07-04,9.375,73200
1997-07-11,9.375,99700
1997-07-18,9.125,127900
1997-07-25,9.375,181200
1997-08-01,9.437999725341797,429800
1997-08-08,9.312999725341797,284800
1997-08-15,8.937999725341797,108300
1997-08-22,8.75,120800
1997-08-29,8.625,92500
1997-09-05,8.5,382400
1997-09-12,9.375,192000
1997-09-19,9.125,143200
1997-09-26,8.687999725341797,106300
1997-10-03,10.687999725341797,1138400
1997-10-10,9.875,513200
1997-10-17,9.375,428400
1997-10-24,9.937999725341797,461100
1997-10-31,9.937999725341797,291200
1997-11-07,9.562999725341797,181900
1997-11-14,9.437999725341797,132600
1997-11-21,9.75,217800
1997-11-28,9.5,121700
1997-12-05,9.375,116600
1997-12-12,8.75,190800
1997-12-19,8.187999725341797,228700
1997-12-26,8.125,137300
1998-01-02,8.125,451300
1998-01-09,8.25,261900
1998-01-16,8.0,332000
1998-01-23,8.0,153800
1998-01-30,7.938000202178955,145600
1998-02-06,9.0,650400
1998-02-13,8.687999725341797,116200
1998-02-20,8.687999725341797,297200
1998-02-27,9.375,474900
1998-03-06,9.687999725341797,389800
1998-03-13,9.375,361700
1998-03-20,9.125,243500
1998-03-27,9.062999725341797,183500
1998-04-03,11.125,692000
1998-04-10,10.812999725341797,246500
1998-04-17,10.25,233900
1998-04-24,10.875,747100
1998-05-01,11.5,139600
1998-05-08,11.687999725341797,288500
1998-05-15,11.062999725341797,93000
1998-05-22,11.312999725341797,224500
1998-05-29,11.0,79000
1998-06-05,10.937999725341797,134700
1998-06-12,10.437999725341797,271100
1998-06-19,10.937999725341797,212600
1998-06-26,11.625,277500
1998-07-03,11.437999725341797,346100
1998-07-10,11.062999725341797,212500
1998-07-17,11.062999725341797,147600
1998-07-24,9.875,205000
1998-07-31,9.3125,109400
1998-08-07,8.75,218900
1998-08-14,8.375,361200
1998-08-21,8.25,73000
1998-08-28,6.875,242400
1998-09-04,7.0,176000
1998-09-11,7.0,55800
1998-09-18,7.25,142300
1998-09-25,7.375,163700
1998-10-02,7.125,52300
1998-10-09,7.125,276000
1998-10-16,7.375,270200
1998-10-23,7.875,214500
1998-10-30,8.25,151900
1998-11-06,9.0,117900
1998-11-13,8.812999725341797,66500
1998-11-20,8.625,77800
1998-11-27,8.5,22900
1998-12-04,8.937999725341797,141200
1998-12-11,8.25,77700
1998-12-18,8.25,109200
