Date,Close,Volume
1995-01-06,11.125,77400
1995-01-13,11.0,104200
1995-01-20,11.75,362000
1995-01-27,12.0,356700
1995-02-03,12.25,630000
1995-02-10,11.875,312900
1995-02-17,11.5,216800
1995-02-24,11.0,306200
1995-03-03,10.875,319100
1995-03-10,10.625,407500
1995-03-17,10.5,1238000
1995-03-24,12.0,829000
1995-03-31,12.0,316800
1995-04-07,11.875,851800
1995-04-14,14.0,1974700
1995-04-21,14.5,1114000
1995-04-28,15.0,1290900
1995-05-05,15.125,581600
1995-05-12,15.375,1857800
1995-05-19,15.5,870500
1995-05-26,14.875,546300
1995-06-02,14.875,1044100
1995-06-09,14.875,593100
1995-06-16,14.875,458400
1995-06-23,15.25,442700
1995-06-30,15.5,618800
1995-07-07,15.25,479200
1995-07-14,15.5,1005500
1995-07-21,17.125,1456900
1995-07-28,17.75,1559000
1995-08-04,20.125,2019200
1995-08-11,19.875,1000900
1995-08-18,21.625,3404500
1995-08-25,21.0,1391300
1995-09-01,19.5,1162400
1995-09-08,20.5,733400
1995-09-15,19.625,713300
1995-09-22,19.25,751000
1995-09-29,19.5,465900
1995-10-06,20.375,4310000
1995-10-13,20.875,1053200
1995-10-20,20.125,881000
1995-10-27,21.0,962700
1995-11-03,21.125,1280800
1995-11-10,21.875,1047200
1995-11-17,20.625,1472400
1995-11-24,20.5,544700
1995-12-01,21.0,690800
1995-12-08,20.0,1007800
1995-12-15,19.875,1876100
1995-12-22,17.75,5854100
1995-12-29,18.875,1450200
1996-01-05,18.0,1286300
1996-01-12,18.0,658400
1996-01-19,18.0,1304900
1996-01-26,20.75,2554700
1996-02-02,20.625,1229600
1996-02-09,20.625,819300
1996-02-16,20.125,204900
1996-02-23,20.25,477400
1996-03-01,22.0,1723600
1996-03-08,23.375,2100400
1996-03-15,24.0,1285000
1996-03-22,23.75,914200
1996-03-29,25.5,1734200
1996-04-05,25.5,1373700
1996-04-12,25.375,1688900
1996-04-19,24.625,1209600
1996-04-26,24.625,1721600
1996-05-03,26.0,2530800
1996-05-10,26.375,2665900
1996-05-17,28.875,3636300
1996-05-24,29.125,1311900
