Date,Close,Stage,support
2010-01-03,116.0,,0
2010-01-10,114.15,bearish,0
2010-01-17,110.89,bearish,0
2010-01-24,108.19,bearish,0
2010-01-31,105.46,bearish,0
2010-02-07,105.98,bearish,0
2010-02-14,110.62,bearish,0
2010-02-21,110.2,bearish,0
2010-02-28,115.41,bearish,0
2010-03-07,114.29,bearish,0
2010-03-14,117.21,bearish,0
2010-03-21,118.33,bearish,0
2010-03-28,119.58,bearish,0
2010-04-04,121.33,bearish,0
2010-04-11,121.09,bearish,0
2010-04-18,122.04,bearish,0
2010-04-25,118.33,bearish,0
2010-05-02,110.03,bearish,0
2010-05-09,110.56,bearish,0
2010-05-16,105.26,bearish,0
2010-05-23,102.2,bearish,0
2010-05-30,97.66,bearish,0
2010-06-06,99.88,bearish,0
2010-06-13,100.05,bearish,0
2010-06-20,96.91,bearish,0
2010-06-27,90.24,bearish,0
2010-07-04,98.55,bearish,0
2010-07-11,96.27,bearish,0
2010-07-18,99.75,bearish,0
2010-07-25,99.6,bearish,0
2010-08-01,101.15,bearish,0
2010-08-08,96.9,volume 0.08298556765141574 1.9505086899600719,0
2010-08-15,95.92,volume -0.05942371831551596 1.9505086899600719,0
2010-08-22,94.79,bearish,0
2010-08-29,100.47,volume 0.0272145488624016 1.9505086899600719,0
2010-09-05,100.39,volume -0.45628765303343033 1.9505086899600719,0
2010-09-12,102.31,volume 0.5159516245756517 1.9505086899600719,0
2010-09-19,104.13,volume -0.08603238530343371 1.9505086899600719,0
2010-09-26,104.47,volume 0.018895701286989253 1.9505086899600719,0
2010-10-03,107.01,volume 0.06070154906440228 1.9505086899600719,0
2010-10-10,107.74,volume 0.13273545031456813 1.9505086899600719,0
2010-10-17,107.27,volume 0.0430586775571975 1.9505086899600719,0
2010-10-24,108.13,volume -0.15836853288994823 1.9505086899600719,0
2010-10-31,117.74,volume 0.17238039101353375 1.9505086899600719,0
2010-11-07,113.17,volume 0.12342062701884471 1.9505086899600719,0
2010-11-14,112.93,volume -0.2346366075997286 1.9505086899600719,0
2010-11-21,111.55,volume -0.3277245038175858 1.9505086899600719,0
2010-11-28,116.44,volume 0.5122823244949106 1.9505086899600719,0
2010-12-05,119.15,volume -0.056218513232417666 1.9505086899600719,0
2010-12-12,119.12,volume 0.08792703561319004 1.9505086899600719,0
2010-12-19,120.78,volume -0.32677852522815687 1.9505086899600719,0
2010-12-26,120.96,volume -0.2564553266486653 1.9505086899600719,0
2011-01-02,121.39,volume 1.3413167786514872 1.9505086899600719,0
2011-01-09,127.73,volume -0.07804379877400158 1.9505086899600719,0
2011-01-16,124.13,volume -0.01840754235981179 1.9505086899600719,0
2011-01-23,122.53,volume 0.11881533345082151 1.9505086899600719,0
2011-01-30,123.43,volume -0.14603447672025338 1.9505086899600719,0
2011-02-06,127.86,volume -0.0974633802669006 1.9505086899600719,0
2011-02-13,129.47,volume 0.03265980896802945 1.9505086899600719,0
2011-02-20,124.87,volume -0.04818667680513633 1.9505086899600719,0
2011-02-27,123.67,volume 0.18707430349200393 1.9505086899600719,0
2011-03-06,119.77,volume -0.10047048593048202 1.9505086899600719,0
2011-03-13,117.65,volume 0.4306098895490771 1.9505086899600719,0
2011-03-20,120.57,volume -0.44683994526843773 1.9505086899600719,0
2011-03-27,125.11,volume 0.35736289655115905 1.9505086899600719,0
2011-04-03,124.43,volume -0.2746927625039308 1.9505086899600719,0
2011-04-10,122.49,volume 0.10254998087893541 1.9505086899600719,0
2011-04-17,121.52,volume -0.027323668723914563 1.9505086899600719,0
2011-04-24,122.4,volume 0.2950331702954614 1.9505086899600719,0
2011-05-01,120.2,volume -0.05488195839292609 1.9505086899600719,0
2011-05-08,119.32,volume -0.08673897846394496 1.9505086899600719,0
2011-05-15,120.02,volume 0.04380462420962439 1.9505086899600719,0
2011-05-22,118.85,volume -0.013471484581673576 1.9505086899600719,0
2011-05-29,114.39,volume 0.15325288114007263 1.9505086899600719,0
2011-06-05,111.79,volume 0.02957457657930851 1.9505086899600719,0
2011-06-12,112.64,volume 0.07909493586607486 1.9505086899600719,0
2011-06-19,109.66,volume 0.04702518935597322 1.9505086899600719,0
2011-06-26,117.0,volume -0.05233508774148243 1.9505086899600719,0
2011-07-03,117.15,volume -0.33071342976426 1.9505086899600719,0
2011-07-10,111.69,volume 0.51027296509436 1.9505086899600719,0
2011-07-17,113.44,volume 0.06234582845466319 1.9505086899600719,0
2011-07-24,109.18,volume -0.02590857355964382 1.9505086899600719,0
2011-07-31,99.25,bearish,0
2011-08-07,92.84,bearish,0
2011-08-14,86.51,bearish,0
2011-08-21,92.39,bearish,0
2011-08-28,90.67,bearish,0
2011-09-04,88.85,bearish,0
2011-09-11,95.36,bearish,0
2011-09-18,84.16,bearish,0
2011-09-25,84.53,bearish,0
2011-10-02,83.94,bearish,0
2011-10-09,89.71,volume -0.2607794918173838 1.9505086899600719,0
2011-10-16,94.63,volume 0.1800072336901255 1.9505086899600719,0
2011-10-23,102.13,volume -0.07411499560002077 1.9505086899600719,0
2011-10-30,96.64,volume -0.006752316391580693 1.9505086899600719,0
2011-11-06,98.23,volume -0.20053544791383326 1.9505086899600719,0
2011-11-13,91.59,volume 0.07931710043351514 1.9505086899600719,0
2011-11-20,85.78,bearish,0
2011-11-27,95.13,volume -0.04944312828776587 1.9505086899600719,0
2011-12-04,96.69,volume -0.06860119251855012 1.9505086899600719,0
2011-12-11,93.06,volume 0.17499106018133048 1.9505086899600719,0
2011-12-18,97.15,volume -0.3140382518472955 1.9505086899600719,0
2011-12-25,96.16,volume -0.48785931606517496 1.9505086899600719,0
2012-01-01,98.73,volume 0.49987252812661387 1.9505086899600719,0
2012-01-08,101.39,volume 0.30931463463930275 1.9505086899600719,0
2012-01-15,102.45,volume -0.07290154373140956 1.9505086899600719,0
2012-01-22,101.29,volume 0.3059442735300473 1.9505086899600719,0
2012-01-29,106.75,volume -0.001366986497295053 1.9505086899600719,0
2012-02-05,105.47,volume -0.23348969151899956 1.9505086899600719,0
