Date,Close,Stage,support
2010-01-03,105.99,,0
2010-01-10,107.47,bearish,0
2010-01-17,105.9,bearish,0
2010-01-24,103.4,bearish,0
2010-01-31,101.85,bearish,0
2010-02-07,102.04,bearish,0
2010-02-14,106.29,bearish,0
2010-02-21,105.93,bearish,0
2010-02-28,109.62,bearish,0
2010-03-07,109.21,bearish,0
2010-03-14,108.83,bearish,0
2010-03-21,108.24,bearish,0
2010-03-28,110.7,bearish,0
2010-04-04,112.88,bearish,0
2010-04-11,112.06,bearish,0
2010-04-18,116.7,bearish,0
2010-04-25,114.09,bearish,0
2010-05-02,105.81,bearish,0
2010-05-09,110.81,bearish,0
2010-05-16,102.33,bearish,0
2010-05-23,103.88,bearish,0
2010-05-30,101.12,bearish,0
2010-06-06,106.4,bearish,0
2010-06-13,110.4,bearish,0
2010-06-20,106.0,bearish,0
2010-06-27,101.8,bearish,0
2010-07-04,107.77,bearish,0
2010-07-11,105.82,bearish,0
2010-07-18,109.82,bearish,0
2010-07-25,108.6,bearish,0
2010-08-01,112.09,bearish,0
2010-08-08,108.25,volume -0.06616392072172494 1.9505086899600719,0
2010-08-15,106.07,volume 0.05371230347451461 1.9505086899600719,0
2010-08-22,107.58,bearish,0
2010-08-29,109.77,volume 0.17520263954277526 1.9505086899600719,0
2010-09-05,109.16,volume -0.22450615624886505 1.9505086899600719,0
2010-09-12,108.71,volume 0.12233177804529771 1.9505086899600719,0
2010-09-19,112.21,volume -0.14533272463388314 1.9505086899600719,0
2010-09-26,114.31,volume -0.0005728248232163002 1.9505086899600719,0
2010-10-03,116.59,volume -0.062012707467562045 1.9505086899600719,0
2010-10-10,117.25,volume -0.04522946819645468 1.9505086899600719,0
2010-10-17,117.39,volume -0.14353151781809992 1.9505086899600719,0
2010-10-24,117.41,volume 0.14677094644137378 1.9505086899600719,0
2010-10-31,120.49,volume -0.11133871859983069 1.9505086899600719,0
2010-11-07,119.32,volume 0.05019205550578487 1.9505086899600719,0
2010-11-14,118.6,volume 0.07690551610062357 1.9505086899600719,0
2010-11-21,118.51,volume -0.32693997455263746 1.9505086899600719,0
2010-11-28,121.34,volume 1.0258504501701045 1.9505086899600719,0
2010-12-05,121.78,volume 0.4715494939694189 1.9505086899600719,0
2010-12-12,121.25,volume -0.3197750895776992 1.9505086899600719,0
2010-12-19,122.82,volume -0.576308186380402 1.9505086899600719,0
2010-12-26,122.59,volume 0.032316327598391315 1.9505086899600719,0
2011-01-02,123.79,volume 0.7131832059231391 1.9505086899600719,0
2011-01-09,125.89,volume -0.12735323283939404 1.9505086899600719,0
2011-01-16,125.84,volume -0.004371935179319331 1.9505086899600719,0
2011-01-23,125.51,volume 0.09625092216590159 1.9505086899600719,0
2011-01-30,127.21,volume 0.14624863813874156 1.9505086899600719,0
2011-02-06,127.8,volume -0.26988979671835156 1.9505086899600719,0
2011-02-13,130.6,volume 0.13246913177693087 1.9505086899600719,0
2011-02-20,130.35,volume -0.004249409554811345 1.9505086899600719,0
2011-02-27,132.35,volume 0.2252781637531256 1.9505086899600719,0
2011-03-06,129.76,volume 0.12342579576415402 1.9505086899600719,0
2011-03-13,128.4,volume 0.12583360941620625 1.9505086899600719,0
2011-03-20,131.88,volume -0.44934686413166425 1.9505086899600719,0
2011-03-27,134.57,volume 0.05570880663566302 1.9505086899600719,0
2011-04-03,132.72,volume -0.005131488855104949 1.9505086899600719,0
2011-04-10,132.18,volume 0.27348218193896146 1.9505086899600719,0
2011-04-17,133.84,volume -0.3438577569293878 1.9505086899600719,0
2011-04-24,138.11,volume 0.24089676686512962 1.9505086899600719,0
2011-05-01,135.06,volume 0.4684533823352759 1.9505086899600719,0
2011-05-08,134.82,volume -0.12849614484782246 1.9505086899600719,0
2011-05-15,134.97,volume -0.025760133555561948 1.9505086899600719,0
2011-05-22,134.31,volume -0.234265747689968 1.9505086899600719,0
2011-05-29,132.14,volume 0.5230446911760211 1.9505086899600719,0
2011-06-05,130.63,volume 0.14809837214067612 1.9505086899600719,0
2011-06-12,130.97,volume -0.07752969833890178 1.9505086899600719,0
2011-06-19,131.94,volume -0.044690610894701055 1.9505086899600719,0
2011-06-26,137.88,volume -0.16944893403700756 1.9505086899600719,0
2011-07-03,137.51,volume -0.2384825511070151 1.9505086899600719,0
2011-07-10,136.19,volume 0.36633747203634637 1.9505086899600719,0
2011-07-17,138.22,volume -0.20525899210147813 1.9505086899600719,0
2011-07-24,133.97,volume 0.28986962860452237 1.9505086899600719,0
2011-07-31,123.45,bearish,0
2011-08-07,124.0,bearish,0
2011-08-14,122.27,bearish,0
2011-08-21,128.22,bearish,0
2011-08-28,129.35,bearish,0
2011-09-04,126.83,bearish,0
2011-09-11,130.9,bearish,0
2011-09-18,123.28,bearish,0
2011-09-25,124.19,bearish,0
2011-10-02,126.74,bearish,0
2011-10-09,132.0,volume -0.31044474851121373 1.9505086899600719,0
2011-10-16,136.94,volume 0.21105132846389396 1.9505086899600719,0
2011-10-23,141.12,volume -0.08481122945912445 1.9505086899600719,0
2011-10-30,140.3,volume -0.06807216314426212 1.9505086899600719,0
