Date,Close,Stage,support
2010-01-03,99.96,,0
2010-01-10,100.25,bearish,0
2010-01-17,97.7,bearish,0
2010-01-24,96.98,bearish,0
2010-01-31,95.53,bearish,0
2010-02-07,94.62,bearish,0
2010-02-14,97.81,bearish,0
2010-02-21,95.73,bearish,0
2010-02-28,98.04,bearish,0
2010-03-07,97.91,bearish,0
2010-03-14,99.04,bearish,0
2010-03-21,97.64,bearish,0
2010-03-28,99.18,bearish,0
2010-04-04,99.03,bearish,0
2010-04-11,97.88,bearish,0
2010-04-18,100.02,bearish,0
2010-04-25,100.2,bearish,0
2010-05-02,95.88,bearish,0
2010-05-09,97.99,bearish,0
2010-05-16,93.83,bearish,0
2010-05-23,94.08,bearish,0
2010-05-30,91.72,bearish,0
2010-06-06,94.87,bearish,0
2010-06-13,98.68,bearish,0
2010-06-20,95.5,bearish,0
2010-06-27,93.55,bearish,0
2010-07-04,98.67,bearish,0
2010-07-11,98.24,bearish,0
2010-07-18,100.64,bearish,0
2010-07-25,100.3,bearish,0
2010-08-01,103.56,bearish,0
2010-08-08,101.92,volume 0.08915226324600867 1.9505086899600719,0
2010-08-15,101.74,volume 0.055469164289911665 1.9505086899600719,0
2010-08-22,103.98,bearish,0
2010-08-29,105.42,volume 0.12904274797288218 1.9505086899600719,0
2010-09-05,105.0,volume -0.3864115809180332 1.9505086899600719,0
2010-09-12,104.54,volume 0.5376405071103327 1.9505086899600719,0
2010-09-19,107.1,volume -0.09800325024813539 1.9505086899600719,0
2010-09-26,107.56,volume -0.002171408786152851 1.9505086899600719,0
2010-10-03,107.49,volume -0.05058868360147717 1.9505086899600719,0
2010-10-10,107.37,volume -0.10861465572395967 1.9505086899600719,0
2010-10-17,108.24,volume 0.10163739376178182 1.9505086899600719,0
2010-10-24,109.24,volume -0.013735707508953587 1.9505086899600719,0
2010-10-31,110.96,volume -0.05121833926913355 1.9505086899600719,0
2010-11-07,107.02,volume 0.15507715946994782 1.9505086899600719,0
2010-11-14,106.19,volume -0.07721867932985849 1.9505086899600719,0
2010-11-21,105.79,volume -0.33774243770090306 1.9505086899600719,0
2010-11-28,106.48,volume 0.8639014982073427 1.9505086899600719,0
2010-12-05,105.58,volume 0.060557696905676694 1.9505086899600719,0
2010-12-12,106.66,volume -0.055067967516115535 1.9505086899600719,0
2010-12-19,106.66,volume -0.5528202883382195 1.9505086899600719,0
2010-12-26,106.47,volume -0.07562027347757738 1.9505086899600719,0
2011-01-02,106.25,volume 1.0977130158259536 1.9505086899600719,0
2011-01-09,107.12,volume 0.045544184107315866 1.9505086899600719,0
2011-01-16,107.99,volume -0.16420518443405607 1.9505086899600719,0
2011-01-23,107.38,volume -0.033417289940281814 1.9505086899600719,0
2011-01-30,107.51,volume 0.018032226766766746 1.9505086899600719,0
2011-02-06,107.5,volume 0.06988131988525303 1.9505086899600719,0
2011-02-13,107.56,volume 0.23983898518497204 1.9505086899600719,0
2011-02-20,106.74,volume -0.1317874969588223 1.9505086899600719,0
2011-02-27,107.81,volume 0.39657742710679345 1.9505086899600719,0
2011-03-06,108.98,volume -0.12224989855219337 1.9505086899600719,0
2011-03-13,105.93,volume 0.5434675527658457 1.9505086899600719,0
2011-03-20,107.63,volume -0.49260681752636337 1.9505086899600719,0
2011-03-27,110.63,volume -0.029671190453937513 1.9505086899600719,0
2011-04-03,110.08,volume -0.1593016968123826 1.9505086899600719,0
2011-04-10,110.38,volume 0.22680048787499474 1.9505086899600719,0
2011-04-17,110.78,volume -0.3389318963866864 1.9505086899600719,0
2011-04-24,113.48,volume 0.3185520263073056 1.9505086899600719,0
2011-05-01,113.43,volume 0.3756814729388769 1.9505086899600719,0
2011-05-08,115.37,volume -0.20302666098288147 1.9505086899600719,0
2011-05-15,115.19,volume 0.07360542569546813 1.9505086899600719,0
2011-05-22,113.52,volume -0.02209144848718725 1.9505086899600719,0
2011-05-29,111.91,volume 0.025837467149970594 1.9505086899600719,0
2011-06-05,110.49,volume 0.13536861115342602 1.9505086899600719,0
2011-06-12,112.01,volume 0.06046927867568486 1.9505086899600719,0
2011-06-19,111.02,volume -0.082885601397365 1.9505086899600719,0
2011-06-26,114.71,volume -0.1990720804966204 1.9505086899600719,0
2011-07-03,114.36,volume -0.24651484196610984 1.9505086899600719,0
2011-07-10,112.97,volume 0.5997350644690052 1.9505086899600719,0
2011-07-17,114.34,volume -0.17181323755568734 1.9505086899600719,0
2011-07-24,111.31,volume 0.1774309898586508 1.9505086899600719,0
2011-07-31,107.03,bearish,0
2011-08-07,106.13,bearish,0
2011-08-14,108.25,bearish,0
2011-08-21,111.45,bearish,0
2011-08-28,112.14,bearish,0
2011-09-04,110.38,bearish,0
2011-09-11,115.71,bearish,0
2011-09-18,113.65,bearish,0
2011-09-25,115.15,bearish,0
2011-10-02,114.52,bearish,0
2011-10-09,116.79,volume -0.35809390168816846 1.9505086899600719,0
2011-10-16,120.93,volume 0.0836402701043586 1.9505086899600719,0
2011-10-23,121.12,volume 0.0252816266664031 1.9505086899600719,0
2011-10-30,120.46,volume 0.15208391501313456 1.9505086899600719,0
2011-11-06,121.55,volume -0.20125783277319675 1.9505086899600719,0
2011-11-13,118.49,volume 0.20646360332285463 1.9505086899600719,0
2011-11-20,114.91,bearish,0
2011-11-27,119.73,volume 0.6482090293888241 1.9505086899600719,0
2011-12-04,120.27,volume -0.13273207827747902 1.9505086899600719,0
2011-12-11,120.27,volume 0.47275276209092665 1.9505086899600719,0
2011-12-18,125.15,volume -0.3831360109788756 1.9505086899600719,0
2011-12-25,125.71,volume -0.43665715156675533 1.9505086899600719,0
2012-01-01,123.55,volume 0.7073412478426238 1.9505086899600719,0
2012-01-08,122.57,volume -0.020900273615816922 1.9505086899600719,0
2012-01-15,122.25,volume -0.18102791930142814 1.9505086899600719,0
2012-01-22,122.4,volume 0.19940229045896474 1.9505086899600719,0
2012-01-29,123.95,volume 0.05027606072520263 1.9505086899600719,0
2012-02-05,123.62,volume -0.1515927463894181 1.9505086899600719,0
2012-02-12,123.12,volume 0.5540766552011147 1.9505086899600719,0
2012-02-19,123.48,volume -0.4025446381120281 1.9505086899600719,0
2012-02-26,123.45,volume 0.4753226289168231 1.9505086899600719,0
2012-03-04,124.12,volume -0.18449218111885002 1.9505086899600719,0
2012-03-11,123.15,volume 0.26102923033078174 1.9505086899600719,0
2012-03-18,122.59,volume -0.10029810260141925 1.9505086899600719,0
2012-03-25,124.82,volume 0.09122791642650796 1.9505086899600719,0
2012-04-01,124.61,volume -0.06563546810782062 1.9505086899600719,0
2012-04-08,122.97,volume 0.14795443293435007 1.9505086899600719,0
2012-04-15,126.24,volume 0.2068515110541862 1.9505086899600719,0
2012-04-22,128.62,volume -0.350366193502203 1.9505086899600719,0
2012-04-29,128.42,volume 0.16477232974930445 1.9505086899600719,0
2012-05-06,129.42,volume -0.06994040624664466 1.9505086899600719,0
2012-05-13,127.28,volume 0.20071804264597226 1.9505086899600719,0
2012-05-20,129.74,volume -0.1945293392779439 1.9505086899600719,0
2012-05-27,130.31,volume -0.07396471288421291 1.9505086899600719,0
2012-06-03,134.39,volume 0.31782548843005065 1.9505086899600719,0
2012-06-10,135.89,volume 0.21916669402674716 1.9505086899600719,0
2012-06-17,133.83,volume -0.2623626698844963 1.9505086899600719,0
2012-06-24,135.97,volume 0.19466720475972 1.9505086899600719,0
2012-07-01,133.4,volume -0.5260825004872005 1.9505086899600719,0
2012-07-08,134.79,volume 0.28954454620092007 1.9505086899600719,0
2012-07-15,135.23,volume -0.018901905379317907 1.9505086899600719,0
