Date,Close,Stage,support
2010-01-03,630.4,,0
2010-01-10,620.5,bearish,0
2010-01-17,630.5,bearish,0
2010-01-24,618.7,bearish,0
2010-01-31,611.0,bearish,0
2010-02-07,604.8,bearish,0
2010-02-14,632.4,bearish,0
2010-02-21,623.5,bearish,0
2010-02-28,656.1,bearish,0
2010-03-07,671.3,bearish,0
2010-03-14,689.0,bearish,0
2010-03-21,691.5,bearish,0
2010-03-28,684.8,bearish,0
2010-04-04,688.8,bearish,0
2010-04-11,697.9,bearish,0
2010-04-18,682.8,bearish,0
2010-04-25,650.4,bearish,0
2010-05-02,605.8,bearish,0
2010-05-09,619.3,bearish,0
2010-05-16,610.3,bearish,0
2010-05-23,603.7,bearish,0
2010-05-30,599.5,bearish,0
2010-06-06,607.5,bearish,0
2010-06-13,600.8,bearish,0
2010-06-20,563.4,bearish,0
2010-06-27,524.0,bearish,0
2010-07-04,546.4,bearish,0
2010-07-11,542.4,bearish,0
2010-07-18,571.7,bearish,0
2010-07-25,564.4,bearish,0
2010-08-01,553.4,bearish,0
2010-08-08,531.9,volume 0.09099893157218353 1.9505086899600719,0
2010-08-15,536.7,volume 0.6952908216422244 1.9505086899600719,0
2010-08-22,538.3,bearish,0
2010-08-29,556.5,volume -0.0657924159310026 1.9505086899600719,0
2010-09-05,557.5,volume -0.22711610963976891 1.9505086899600719,0
2010-09-12,572.0,volume 0.37503685905340833 1.9505086899600719,0
2010-09-19,585.7,volume 0.0023594034246094964 1.9505086899600719,0
2010-09-26,589.0,volume -0.1646029340637707 1.9505086899600719,0
2010-10-03,592.1,volume -0.16319200659319033 1.9505086899600719,0
2010-10-10,568.7,volume 0.6294749921947305 1.9505086899600719,0
2010-10-17,589.5,volume 0.02295288232027115 1.9505086899600719,0
2010-10-24,620.1,volume -0.13517973415707685 1.9505086899600719,0
2010-10-31,632.0,volume 0.020207798791709308 1.9505086899600719,0
2010-11-07,623.4,volume -0.26513528480404813 1.9505086899600719,0
2010-11-14,623.6,volume 0.03551834956828337 1.9505086899600719,0
2010-11-21,632.2,volume -0.44491219829449513 1.9505086899600719,0
2010-11-28,620.3,volume 1.140181392481539 1.9505086899600719,0
2010-12-05,642.3,volume -0.19329754057967052 1.9505086899600719,0
2010-12-12,637.6,volume 0.204140091075099 1.9505086899600719,0
2010-12-19,626.2,volume -0.5609811399840535 1.9505086899600719,0
2010-12-26,617.6,volume -0.056473491560594447 1.9505086899600719,0
2011-01-02,616.2,volume 0.5934407883064241 1.9505086899600719,0
2011-01-09,635.4,volume 0.14811794374203902 1.9505086899600719,0
2011-01-16,645.3,volume 0.07103076213409687 1.9505086899600719,0
2011-01-23,642.0,volume -0.0756649430167301 1.9505086899600719,0
2011-01-30,670.3,volume -0.11102246890134149 1.9505086899600719,0
2011-02-06,707.0,volume 0.04695155615309088 1.9505086899600719,0
2011-02-13,732.0,volume 0.03325815807969801 1.9505086899600719,0
2011-02-20,722.4,volume -0.20739516919767198 1.9505086899600719,0
2011-02-27,701.4,volume 0.17881136324423075 1.9505086899600719,0
2011-03-06,688.0,volume -0.03561856345828962 1.9505086899600719,0
2011-03-13,675.2,volume 0.23731202253436434 1.9505086899600719,0
2011-03-20,702.6,volume -0.38140156740840103 1.9505086899600719,0
2011-03-27,712.3,volume 0.40129257540800967 1.9505086899600719,0
2011-04-03,713.4,volume -0.14098854802749272 1.9505086899600719,0
2011-04-10,707.8,volume -0.07952074123366193 1.9505086899600719,0
2011-04-17,711.1,volume -0.25573202940312967 1.9505086899600719,0
2011-04-24,739.5,volume 0.8236331020035332 1.9505086899600719,0
2011-05-01,712.5,volume -0.14247283394709687 1.9505086899600719,0
2011-05-08,726.6,volume 0.11458948878326258 1.9505086899600719,0
2011-05-15,710.1,volume -0.24261446836509015 1.9505086899600719,0
2011-05-22,690.9,volume 0.23765790417953436 1.9505086899600719,0
2011-05-29,698.4,volume 0.2852154436033496 1.9505086899600719,0
2011-06-05,675.6,volume -0.04135446818688182 1.9505086899600719,0
2011-06-12,660.1,volume -0.01357829181117709 1.9505086899600719,0
2011-06-19,661.2,volume 0.09476385174484991 1.9505086899600719,0
2011-06-26,731.8,volume 0.08470339637811408 1.9505086899600719,0
2011-07-03,747.7,volume -0.4830524968321075 1.9505086899600719,0
2011-07-10,732.5,volume 0.3698335143240574 1.9505086899600719,0
2011-07-17,746.4,volume 0.05757098365058333 1.9505086899600719,0
2011-07-24,715.7,volume -0.05857756247403956 1.9505086899600719,0
2011-07-31,644.6,bearish,0
2011-08-07,641.9,bearish,0
2011-08-14,591.5,bearish,0
2011-08-21,633.9,bearish,0
2011-08-28,626.8,bearish,0
2011-09-04,614.7,bearish,0
2011-09-11,683.3,bearish,0
2011-09-18,635.2,bearish,0
2011-09-25,605.5,bearish,0
2011-10-02,636.0,bearish,0
2011-10-09,685.3,volume -0.323682702752053 1.9505086899600719,0
2011-10-16,674.1,volume 0.3207995697529953 1.9505086899600719,0
2011-10-23,699.5,volume -0.10590745534506696 1.9505086899600719,0
2011-10-30,681.5,volume 0.29236556841016337 1.9505086899600719,0
2011-11-06,667.3,volume -0.32155381989417964 1.9505086899600719,0
2011-11-13,633.4,volume -0.09865554893586881 1.9505086899600719,0
2011-11-20,598.6,bearish,0
2011-11-27,642.4,volume 0.7510505248276242 1.9505086899600719,0
2011-12-04,664.0,volume -0.15454362761546858 1.9505086899600719,0
2011-12-11,642.5,volume 0.34993079344299294 1.9505086899600719,0
2011-12-18,665.8,volume -0.3722835884199863 1.9505086899600719,0
2011-12-25,658.9,volume -0.44068592671445406 1.9505086899600719,0
2012-01-01,670.5,volume 1.2060200151360965 1.9505086899600719,0
2012-01-08,679.8,volume -0.03823555972790149 1.9505086899600719,0
2012-01-15,695.1,volume 0.12264930883636493 1.9505086899600719,0
2012-01-22,699.2,volume -0.1750261494704216 1.9505086899600719,0
2012-01-29,714.4,volume 0.12891179859889235 1.9505086899600719,0
2012-02-05,711.8,volume -0.11882963789250278 1.9505086899600719,0
2012-02-12,733.1,volume 0.1538226890066161 1.9505086899600719,0
2012-02-19,747.5,volume -0.3141748621655591 1.9505086899600719,0
2012-02-26,723.1,volume 0.8318863760172075 1.9505086899600719,0
2012-03-04,725.7,volume -0.22183493306753943 1.9505086899600719,0
2012-03-11,744.9,volume 0.16690879063385777 1.9505086899600719,0
2012-03-18,736.5,volume -0.2944987012107748 1.9505086899600719,0
2012-03-25,731.6,volume 0.2717150115770517 1.9505086899600719,0
2012-04-01,713.4,volume -0.1616579881415734 1.9505086899600719,0
2012-04-08,712.5,volume 0.11424437088122019 1.9505086899600719,0
2012-04-15,754.5,volume 0.34210716004890385 1.9505086899600719,0
2012-04-22,769.3,volume -0.1005757478955639 1.9505086899600719,0
2012-04-29,735.2,volume -0.028058599902624826 1.9505086899600719,0
2012-05-06,741.5,volume 0.0620850102008359 1.9505086899600719,0
2012-05-13,706.3,volume -0.012433398205560886 1.9505086899600719,0
2012-05-20,736.0,volume -0.15697864283718366 1.9505086899600719,0
2012-05-27,711.6,volume 0.19392699688689263 1.9505086899600719,0
2012-06-03,745.9,volume -0.20169340409348457 1.9505086899600719,0
2012-06-10,735.8,volume 0.20740433564064698 1.9505086899600719,0
