,open,high,low,close,adjclose,volume,ticker,percent,WMA30,WMA30Slope
1995-01-06,460.3800048828125,462.489990234375,459.4700012207031,,460.67999267578125,308070000,^GSPC,0.0,,0.0
1995-01-13,461.6400146484375,466.42999267578125,461.6400146484375,462.3559997558594,465.9700012207031,336740000,^GSPC,0.0,,0.0
1995-01-20,466.95001220703125,466.989990234375,463.989990234375,468.1739990234375,464.7799987792969,378190000,^GSPC,0.0,,0.0
1995-01-27,468.32000732421875,471.3599853515625,468.32000732421875,467.5660034179688,470.3900146484375,339510000,^GSPC,0.0,,0.0
1995-02-03,472.7799987792969,479.9100036621094,472.7799987792969,472.15400390625,478.6499938964844,441000000,^GSPC,0.0,,0.0
1995-02-10,480.19000244140625,481.9599914550781,479.5299987792969,480.9580017089844,481.4599914550781,295600000,^GSPC,0.0,,0.0
1995-02-17,485.1499938964844,485.2200012207031,481.9700012207031,483.1859985351563,481.9700012207031,347970000,^GSPC,0.0,,0.0
1995-02-24,486.82000732421875,488.2799987792969,485.70001220703125,484.95599975585935,488.1099853515625,302930000,^GSPC,0.0,,0.0
1995-03-03,485.1300048828125,485.4200134277344,483.07000732421875,485.4800048828125,485.4200134277344,330840000,^GSPC,0.0,,0.0
1995-03-10,483.1600036621094,490.3699951171875,483.1600036621094,484.7240051269531,489.57000732421875,382940000,^GSPC,0.0,,0.0
1995-03-17,495.42999267578125,496.6700134277344,494.95001220703125,493.15,495.5199890136719,417380000,^GSPC,0.0,,0.0
1995-03-24,496.07000732421875,500.9700012207031,496.07000732421875,496.760009765625,500.9700012207031,358370000,^GSPC,0.0,,0.0
1995-03-31,501.94000244140625,502.2200012207031,495.70001220703125,502.6299987792969,500.7099914550781,353060000,^GSPC,0.0,,0.0
1995-04-07,506.1300048828125,507.19000244140625,503.5899963378906,505.03200073242186,506.4200134277344,314760000,^GSPC,0.0,,0.0
1995-04-21,505.6300048828125,508.489990234375,505.6300048828125,506.0400024414063,508.489990234375,403250000,^GSPC,0.0,,0.0
1995-04-28,513.6400146484375,515.2899780273438,510.8999938964844,513.1819946289063,514.7100219726562,320440000,^GSPC,0.0,,0.0
1995-05-05,520.75,522.3499755859375,518.280029296875,518.0519897460938,520.1199951171875,342380000,^GSPC,0.0,,0.0
1995-05-12,524.3699951171875,527.0499877929688,523.2999877929688,524.3599975585937,525.5499877929688,361000000,^GSPC,0.0,,0.0
1995-05-19,519.5800170898438,519.5800170898438,517.0700073242188,524.35400390625,519.1900024414062,354010000,^GSPC,0.0,,0.0
1995-05-26,528.5900268554688,528.5900268554688,522.510009765625,526.618017578125,523.6500244140625,291220000,^GSPC,0.0,,0.0
1995-06-02,533.489990234375,536.9099731445312,529.5499877929688,529.3260131835938,532.510009765625,366000000,^GSPC,0.0,,0.0
1995-06-09,532.3499755859375,532.3499755859375,526.0,532.9139892578125,527.9400024414062,327570000,^GSPC,0.0,,0.0
1995-06-16,537.510009765625,539.97998046875,537.1199951171875,536.0699951171875,539.8300170898438,442740000,^GSPC,0.0,,0.0
1995-06-23,551.0700073242188,551.0700073242188,548.22998046875,546.9919921875,549.7100219726562,321660000,^GSPC,0.0,,0.0
1995-06-30,543.8699951171875,546.8200073242188,543.510009765625,543.9819946289062,544.75,311650000,^GSPC,0.0,,0.0
1995-07-07,553.9000244140625,556.5700073242188,553.0499877929688,549.8920043945312,556.3699951171875,466540000,^GSPC,0.0,,0.0
1995-07-14,561.0,561.0,556.4099731445312,558.7500122070312,559.8900146484375,312930000,^GSPC,0.0,,0.0
1995-07-21,553.3400268554688,554.72998046875,550.9099731445312,555.8639892578125,553.6199951171875,431830000,^GSPC,0.0,,0.0
1995-07-28,565.219970703125,565.4000244140625,562.0399780273438,561.4979858398438,562.9299926757812,311590000,^GSPC,0.0,,0.0
1995-08-04,558.75,559.5700073242188,557.9099731445312,559.6380004882812,558.9400024414062,314740000,^GSPC,0.0,,0.0
1995-08-11,557.4500122070312,558.5,553.0399780273438,558.5380126953125,555.1099853515625,267850000,^GSPC,1.21084757438353,531.7322927298596,0.0
1995-08-18,559.0399780273438,561.239990234375,558.3400268554688,559.3059936523438,559.2100219726562,320490000,^GSPC,1.2109868301886293,534.6268815235425,1.007385989676437
1995-08-25,557.4600219726562,561.3099975585938,557.4600219726562,558.4660034179688,560.0999755859375,255990000,^GSPC,1.193832331940267,537.2587827883485,1.0015914478966987
1995-09-01,561.8800048828125,564.6199951171875,561.010009765625,561.1380004882812,563.8400268554688,256730000,^GSPC,1.1997779212832604,539.8688946073797,1.0066774708669084
1995-09-08,570.2899780273438,572.6799926757812,569.27001953125,569.2299926757812,572.6799926757812,317940000,^GSPC,1.2062481058839516,542.7998403372816,1.0156781452172046
