Date,Close,Stage,support
2010-01-03,72.2,,0
2010-01-10,72.53,bearish,0
2010-01-17,73.8,bearish,0
2010-01-24,68.56,bearish,0
2010-01-31,66.81,bearish,0
2010-02-07,73.49,bearish,0
2010-02-14,75.57,bearish,0
2010-02-21,77.34,bearish,0
2010-02-28,77.86,bearish,0
2010-03-07,80.96,bearish,0
2010-03-14,78.35,bearish,0
2010-03-21,83.58,bearish,0
2010-03-28,83.89,bearish,0
2010-04-04,83.96,bearish,0
2010-04-11,84.88,bearish,0
2010-04-18,83.2,bearish,0
2010-04-25,78.5,bearish,0
2010-05-02,72.55,bearish,0
2010-05-09,79.8,bearish,0
2010-05-16,76.2,bearish,0
2010-05-23,79.99,bearish,0
2010-05-30,79.96,bearish,0
2010-06-06,81.87,bearish,0
2010-06-13,83.88,bearish,0
2010-06-20,75.43,bearish,0
2010-06-27,68.79,bearish,0
2010-07-04,74.95,bearish,0
2010-07-11,75.03,bearish,0
2010-07-18,76.83,bearish,0
2010-07-25,79.05,bearish,0
2010-08-01,77.27,bearish,0
2010-08-08,74.72,volume -0.20537779932505096 1.9505086899600719,0
2010-08-15,71.33,volume 0.0739051487768152 1.9505086899600719,0
2010-08-22,69.98,bearish,0
2010-08-29,74.48,volume -0.08224822785477559 1.9505086899600719,0
2010-09-05,71.22,volume -0.3294834154918862 1.9505086899600719,0
2010-09-12,74.34,volume 0.41467747946191635 1.9505086899600719,0
2010-09-19,76.79,volume 0.12304725419450047 1.9505086899600719,0
2010-09-26,80.42,volume 0.38266201166410263 1.9505086899600719,0
2010-10-03,80.73,volume -0.3127968523043534 1.9505086899600719,0
2010-10-10,80.37,volume -0.12069030460326902 1.9505086899600719,0
2010-10-17,87.45,volume 0.6619007228940283 1.9505086899600719,0
2010-10-24,91.28,volume -0.27315657918228886 1.9505086899600719,0
2010-10-31,93.18,volume 0.003776300938031829 1.9505086899600719,0
2010-11-07,89.42,volume -0.11737226459543515 1.9505086899600719,0
2010-11-14,90.61,volume -0.1597445693865912 1.9505086899600719,0
2010-11-21,92.27,volume -0.2884730044472056 1.9505086899600719,0
2010-11-28,89.37,volume 0.8785060692606219 1.9505086899600719,0
2010-12-05,86.14,volume 0.059637768684919434 1.9505086899600719,0
2010-12-12,83.31,volume -0.05431643371127992 1.9505086899600719,0
2010-12-19,82.23,volume -0.4277545898206001 1.9505086899600719,0
2010-12-26,83.18,volume -0.10831276555527014 1.9505086899600719,0
2011-01-02,88.26,volume 1.1720305755113904 1.9505086899600719,0
2011-01-09,87.2,volume -0.24103826668992512 1.9505086899600719,0
2011-01-16,80.14,volume 0.46631966675284775 1.9505086899600719,0
2011-01-23,80.82,volume 0.22133908813013625 1.9505086899600719,0
2011-01-30,79.17,volume -0.07484516282122888 1.9505086899600719,0
2011-02-06,83.43,volume -0.17777801450727804 1.9505086899600719,0
2011-02-13,82.69,volume -0.18870461896546176 1.9505086899600719,0
2011-02-20,76.83,volume 0.8804120288356656 1.9505086899600719,0
2011-02-27,72.75,volume -0.09224634988232527 1.9505086899600719,0
2011-03-06,79.87,volume 0.016036884855730182 1.9505086899600719,0
2011-03-13,75.7,volume -0.14134433870623053 1.9505086899600719,0
2011-03-20,76.32,volume -0.23539918211851152 1.9505086899600719,0
2011-03-27,75.73,volume -0.14572653000927294 1.9505086899600719,0
2011-04-03,69.0,volume 0.22100510819842079 1.9505086899600719,0
2011-04-10,70.02,volume 0.114356518740246 1.9505086899600719,0
