Date,Close,Stage,support
2010-01-03,364.95,,0
2010-01-10,377.97,bearish,0
2010-01-17,358.31,bearish,0
2010-01-24,333.03,bearish,0
2010-01-31,324.6,bearish,0
2010-02-07,339.24,bearish,0
2010-02-14,335.38,bearish,0
2010-02-21,336.28,bearish,0
2010-02-28,346.32,bearish,0
2010-03-07,361.62,bearish,0
2010-03-14,362.32,bearish,0
2010-03-21,388.05,bearish,0
2010-03-28,389.75,bearish,0
2010-04-04,432.38,bearish,0
2010-04-11,419.58,bearish,0
2010-04-18,455.04,bearish,0
2010-04-25,454.52,bearish,0
2010-05-02,401.0,bearish,0
2010-05-09,427.14,bearish,0
2010-05-16,392.27,bearish,0
2010-05-23,413.89,bearish,0
2010-05-30,407.6,bearish,0
2010-06-06,417.71,bearish,0
2010-06-13,420.55,bearish,0
2010-06-20,414.04,bearish,0
2010-06-27,351.26,bearish,0
2010-07-04,372.12,bearish,0
2010-07-11,365.18,bearish,0
2010-07-18,396.77,bearish,0
2010-07-25,401.01,bearish,0
2010-08-01,416.79,bearish,0
2010-08-08,405.65,volume -0.13625281513337406 1.9505086899600719,0
2010-08-15,411.99,volume -0.07235008550973654 1.9505086899600719,0
2010-08-22,405.29,bearish,0
2010-08-29,422.76,volume -0.11646524117352963 1.9505086899600719,0
2010-09-05,428.33,volume -0.17902253474873864 1.9505086899600719,0
2010-09-12,430.38,volume 0.20717544580478786 1.9505086899600719,0
2010-09-19,431.77,volume 0.3927431627007383 1.9505086899600719,0
2010-09-26,442.65,volume -0.028844702400632638 1.9505086899600719,0
2010-10-03,471.52,volume 0.10459644295990556 1.9505086899600719,0
2010-10-10,478.09,volume 0.6925590381004096 1.9505086899600719,0
2010-10-17,484.75,volume -0.4769730546878399 1.9505086899600719,0
2010-10-24,527.38,volume -0.07335423947515185 1.9505086899600719,0
2010-10-31,574.16,volume 0.6137838726167768 1.9505086899600719,0
2010-11-07,555.09,volume 0.01915681579234363 1.9505086899600719,0
2010-11-14,558.28,volume -0.24376942213161457 1.9505086899600719,0
2010-11-21,559.1,volume -0.4248377440699037 1.9505086899600719,0
2010-11-28,571.86,volume 0.7095450824445568 1.9505086899600719,0
2010-12-05,551.45,volume -0.04206177303633285 1.9505086899600719,0
2010-12-12,552.21,volume -0.0012990027425924255 1.9505086899600719,0
2010-12-19,561.19,volume -0.41240603415726795 1.9505086899600719,0
2010-12-26,564.5,volume -0.24850943379529034 1.9505086899600719,0
2011-01-02,610.28,volume 1.2530494302387902 1.9505086899600719,0
2011-01-09,604.78,volume -0.09941800367362597 1.9505086899600719,0
2011-01-16,577.9,volume -0.16396348778057734 1.9505086899600719,0
2011-01-23,569.35,volume 0.22189860316102572 1.9505086899600719,0
2011-01-30,576.87,volume -0.14314641315031107 1.9505086899600719,0
2011-02-06,598.38,volume 0.06458041939382286 1.9505086899600719,0
2011-02-13,592.25,volume -0.1590485374331173 1.9505086899600719,0
2011-02-20,567.44,volume 0.017428389888488383 1.9505086899600719,0
2011-02-27,565.51,volume 0.17516398945716438 1.9505086899600719,0
2011-03-06,530.49,volume -0.07885123445906839 1.9505086899600719,0
2011-03-13,498.27,volume -0.010659437038640696 1.9505086899600719,0
2011-03-20,548.09,volume 0.007231098148327231 1.9505086899600719,0
2011-03-27,562.46,volume -0.1789150804932289 1.9505086899600719,0
2011-04-03,566.22,volume -0.08791052284110468 1.9505086899600719,0
2011-04-10,566.64,volume 0.3394375223344088 1.9505086899600719,0
2011-04-17,589.84,volume -0.19595179179368383 1.9505086899600719,0
2011-04-24,598.05,volume -0.03833205112246163 1.9505086899600719,0
2011-05-01,581.45,volume 0.6973182023822357 1.9505086899600719,0
2011-05-08,585.47,volume -0.351771386164503 1.9505086899600719,0
2011-05-15,577.92,volume 0.06965723313986438 1.9505086899600719,0
2011-05-22,575.86,volume -0.20728032500362636 1.9505086899600719,0
2011-05-29,565.73,volume 0.027737689481172056 1.9505086899600719,0
2011-06-05,523.25,volume 0.36530968829223 1.9505086899600719,0
2011-06-12,521.91,volume -0.008615780630865433 1.9505086899600719,0
2011-06-19,533.95,volume -0.1423346952816983 1.9505086899600719,0
2011-06-26,590.7,volume -0.10530647844094199 1.9505086899600719,0
2011-07-03,618.8,volume -0.09404907318575118 1.9505086899600719,0
2011-07-10,610.9,volume 0.4002892717438613 1.9505086899600719,0
2011-07-17,630.32,volume -0.11066466049429369 1.9505086899600719,0
2011-07-24,616.07,volume 0.0209576619947609 1.9505086899600719,0
2011-07-31,542.94,bearish,0
2011-08-07,549.58,bearish,0
2011-08-14,508.38,bearish,0
2011-08-21,538.9,bearish,0
2011-08-28,552.1,bearish,0
2011-09-04,554.17,bearish,0
2011-09-11,571.5,bearish,0
2011-09-18,526.99,bearish,0
2011-09-25,469.83,bearish,0
2011-10-02,508.1,bearish,0
2011-10-09,547.22,volume -0.28893166025389394 1.9505086899600719,0
2011-10-16,510.56,volume -0.0038100547509816174 1.9505086899600719,0
2011-10-23,580.35,volume 0.09033172428580061 1.9505086899600719,0
2011-10-30,567.07,volume -0.07398953228441563 1.9505086899600719,0
2011-11-06,544.97,volume -0.03854617333380783 1.9505086899600719,0
2011-11-13,530.98,volume -0.2878455883519262 1.9505086899600719,0
2011-11-20,500.18,bearish,0
2011-11-27,542.2,volume 0.4225858951970829 1.9505086899600719,0
2011-12-04,521.8,volume -0.019679226596654886 1.9505086899600719,0
2011-12-11,494.5,volume -0.08876376922581974 1.9505086899600719,0
2011-12-18,520.3,volume -0.2910066781061722 1.9505086899600719,0
2011-12-25,522.52,volume -0.13238631287411773 1.9505086899600719,0
2012-01-01,519.97,volume 0.17617312577399225 1.9505086899600719,0
2012-01-08,549.33,volume 0.49919788946279553 1.9505086899600719,0
2012-01-15,559.57,volume -0.2581897405629068 1.9505086899600719,0
2012-01-22,580.86,volume 0.2956305136519346 1.9505086899600719,0
2012-01-29,592.66,volume 0.2491767088968031 1.9505086899600719,0
2012-02-05,588.88,volume -0.2918232424712577 1.9505086899600719,0
2012-02-12,594.9,volume -0.005719261008213183 1.9505086899600719,0
2012-02-19,600.91,volume 0.15151783965057164 1.9505086899600719,0
2012-02-26,623.97,volume 0.23497335041896172 1.9505086899600719,0
2012-03-04,611.38,volume -0.3303814990187155 1.9505086899600719,0
2012-03-11,633.1,volume 0.08173107530285706 1.9505086899600719,0
2012-03-18,639.0,volume -0.19176900997648005 1.9505086899600719,0
2012-03-25,635.92,volume 0.13900630578133644 1.9505086899600719,0
2012-04-01,643.33,volume -0.2517145715975355 1.9505086899600719,0
2012-04-08,650.05,volume 0.6203323093474944 1.9505086899600719,0
2012-04-15,643.1,volume -0.18936919746305325 1.9505086899600719,0
2012-04-22,637.18,volume 0.22033809614686128 1.9505086899600719,0
2012-04-29,608.99,volume 0.0195109786467349 1.9505086899600719,0
2012-05-06,578.38,volume -0.07812071009523058 1.9505086899600719,0
2012-05-13,525.75,volume 0.13152787348258976 1.9505086899600719,0
2012-05-20,537.52,volume -0.1797245365997029 1.9505086899600719,0
2012-05-27,500.26,volume 0.14258161174396466 1.9505086899600719,0
2012-06-03,531.37,volume 0.05542932215683827 1.9505086899600719,0
2012-06-10,523.02,volume -0.07610783476515115 1.9505086899600719,0
2012-06-17,526.07,volume -0.049144492158191944 1.9505086899600719,0
2012-06-24,524.05,volume -0.181116181922915 1.9505086899600719,0
2012-07-01,514.9,volume -0.27381391141191447 1.9505086899600719,0
2012-07-08,486.28,volume 0.6426598754917718 1.9505086899600719,0
2012-07-15,493.86,volume 0.1283297964962704 1.9505086899600719,0
2012-07-22,451.07,volume 0.3690168383532295 1.9505086899600719,0
2012-07-29,458.77,volume -0.3125895957455195 1.9505086899600719,0
2012-08-05,471.3,volume 0.1163852317635592 1.9505086899600719,0
2012-08-12,486.89,volume -0.29834920435646994 1.9505086899600719,0
2012-08-19,494.72,volume 0.04797355385343671 1.9505086899600719,0
2012-08-26,490.87,volume -0.25312989150991616 1.9505086899600719,0
2012-09-02,507.19,volume -0.046144998288332406 1.9505086899600719,0
2012-09-09,538.82,volume 0.45081934796493317 1.9505086899600719,0
2012-09-16,526.25,volume -0.03600492690924262 1.9505086899600719,0
2012-09-23,538.18,volume -0.13977534200834196 1.9505086899600719,0
2012-09-30,528.41,volume -0.13359283269967592 1.9505086899600719,0
2012-10-07,516.5,volume -0.05285516370850263 1.9505086899600719,0
2012-10-14,532.15,volume 0.12540488249277737 1.9505086899600719,0
2012-10-21,535.17,volume -0.012405781705985164 1.9505086899600719,0
2012-10-28,535.83,volume -0.17014394334894622 1.9505086899600719,0
2012-11-04,515.02,volume 0.5779604476973421 1.9505086899600719,0
2012-11-11,507.3,volume 0.10540328201500682 1.9505086899600719,0
2012-11-18,526.25,volume -0.47945790374458797 1.9505086899600719,0
2012-11-25,549.36,volume 0.8569060149597965 1.9505086899600719,0
2012-12-02,550.75,volume -0.0071975259834822225 1.9505086899600719,0
2012-12-09,568.79,volume -0.26193808059444423 1.9505086899600719,0
2012-12-16,571.53,volume 0.07465612284786682 1.9505086899600719,0
