Date,Close,Volume
1995-01-06,2.25,407500
1995-01-13,2.25,436600
1995-01-20,2.125,180900
1995-01-27,2.25,168800
1995-02-03,2.0,230800
1995-02-10,2.0,278800
1995-02-17,2.0,790400
1995-02-24,2.125,320900
1995-03-03,2.875,1576500
1995-03-10,3.375,970700
1995-03-17,3.0,413500
1995-03-24,2.875,470100
1995-03-31,2.625,393300
1995-04-07,3.0,438000
1995-04-14,3.0,511200
1995-04-21,3.25,563700
1995-04-28,3.875,1220300
1995-05-05,3.875,500700
1995-05-12,3.75,236600
1995-05-19,3.625,288000
1995-05-26,3.25,455300
1995-06-02,3.5,234700
1995-06-09,3.5,226200
1995-06-16,3.375,113500
1995-06-23,3.125,310600
1995-06-30,3.125,170400
1995-07-07,3.625,719900
1995-07-14,3.625,574700
1995-07-21,4.0,1368900
1995-07-28,4.375,1041100
1995-08-04,4.25,435900
1995-08-11,4.125,247200
1995-08-18,4.125,290300
1995-08-25,4.0,284100
1995-09-01,3.75,297500
1995-09-08,4.25,547400
1995-09-15,4.125,478200
1995-09-22,4.75,822200
1995-09-29,4.5,302500
1995-10-06,4.25,289200
1995-10-13,4.25,258700
1995-10-20,4.25,244900
1995-10-27,3.875,362400
1995-11-03,3.875,163400
1995-11-10,3.625,506800
1995-11-17,3.375,328800
1995-11-24,3.125,407200
1995-12-01,4.125,874600
1995-12-08,3.75,323100
1995-12-15,3.875,243600
1995-12-22,3.75,212000
1995-12-29,3.5,262900
1996-01-05,3.75,261100
1996-01-12,3.875,149500
1996-01-19,3.75,119000
1996-01-26,3.875,170400
1996-02-02,4.0,538000
1996-02-09,4.125,340700
1996-02-16,4.625,371400
1996-02-23,4.875,1333800
1996-03-01,4.75,1142600
1996-03-08,4.375,559400
1996-03-15,4.625,287500
1996-03-22,4.5,380900
1996-03-29,4.875,1056900
1996-04-05,5.125,1055800
1996-04-12,5.5,749100
1996-04-19,5.75,529000
1996-04-26,6.0,871200
1996-05-03,6.625,745900
1996-05-10,7.0,828700
1996-05-17,7.375,570500
1996-05-24,8.125,834800
1996-05-31,7.625,498400
1996-06-07,7.25,325600
1996-06-14,7.625,742400
1996-06-21,7.125,521400
1996-06-28,7.75,628600
1996-07-05,7.75,537300
1996-07-12,6.75,449900
1996-07-19,6.75,382400
1996-07-26,6.25,248800
1996-08-02,6.5,139900
1996-08-09,6.75,190000
1996-08-16,7.0,312000
1996-08-23,7.625,591700
1996-08-30,7.75,161400
1996-09-06,8.25,745200
1996-09-13,9.0,1302400
1996-09-20,9.0,861300
1996-09-27,9.375,775900
1996-10-04,9.5,515900
1996-10-11,8.375,514000
1996-10-18,7.875,542100
1996-10-25,8.75,335800
1996-11-01,8.75,453500
1996-11-08,8.75,242200
1996-11-15,8.625,144300
1996-11-22,9.375,1038200
1996-11-29,10.125,678400
1996-12-06,10.5,1108000
1996-12-13,9.375,554100
1996-12-20,9.75,482600
1996-12-27,9.5,319200
1997-01-03,8.75,315500
1997-01-10,9.0,777300
1997-01-17,9.125,633700
1997-01-24,8.75,291200
1997-01-31,8.75,311300
1997-02-07,9.25,572500
1997-02-14,9.125,640300
1997-02-21,9.75,355600
1997-02-28,9.5,295900
1997-03-07,9.375,639400
1997-03-14,8.875,325500
1997-03-21,9.25,576700
1997-03-28,10.75,1079400
1997-04-04,10.875,1032500
1997-04-11,11.0,575500
1997-04-18,11.75,817900
1997-04-25,11.75,609300
1997-05-02,11.5,250700
1997-05-09,11.125,445100
1997-05-16,11.375,220400
1997-05-23,13.875,1444300
1997-05-30,13.75,805900
1997-06-06,14.0,675100
1997-06-13,13.875,1167600
1997-06-20,14.125,904200
1997-06-27,14.312999725341797,546800
1997-07-04,14.375,689900
1997-07-11,13.562999725341797,331400
1997-07-18,14.0,311400
1997-07-25,13.437999725341797,167300
1997-08-01,13.187999725341797,480900
1997-08-08,12.0,522425
1997-08-15,12.562999725341797,489200
1997-08-22,11.687999725341797,1006500
1997-08-29,12.437999725341797,544000
1997-09-05,12.75,705300
1997-09-12,14.312999725341797,528900
1997-09-19,14.25,338000
1997-09-26,14.562999725341797,572200
1997-10-03,14.5,1295600
1997-10-10,13.75,359200
1997-10-17,13.0,475400
1997-10-24,13.0,283300
1997-10-31,12.687999725341797,484400
1997-11-07,12.375,569100
1997-11-14,11.812999725341797,622300
1997-11-21,12.562999725341797,1063100
1997-11-28,13.0,235800
1997-12-05,13.375,557900
1997-12-12,12.5,435700
1997-12-19,12.0,248500
1997-12-26,11.875,227300
1998-01-02,12.625,419500
1998-01-09,11.687999725341797,482700
1998-01-16,11.812999725341797,340300
1998-01-23,12.125,294100
1998-01-30,12.125,398600
1998-02-06,14.25,1089500
1998-02-13,14.562999725341797,559400
1998-02-20,13.812999725341797,279200
1998-02-27,13.75,513300
1998-03-06,16.375,1135300
1998-03-13,17.187999725341797,709900
1998-03-20,16.75,846300
