Date,Close,Volume
1995-01-06,15.875,92600
1995-01-13,16.125,135400
1995-01-20,16.5,51100
1995-01-27,16.125,171700
1995-02-03,16.5,69300
1995-02-10,17.0,188900
1995-02-17,17.75,191300
1995-02-24,18.375,177700
1995-03-03,17.625,114600
1995-03-10,17.125,91500
1995-03-17,16.875,92900
1995-03-24,17.75,166400
1995-03-31,17.875,191800
1995-04-07,18.25,146600
1995-04-14,18.125,70200
1995-04-21,18.0,124900
1995-04-28,18.0,62000
1995-05-05,17.625,102400
1995-05-12,18.375,175900
1995-05-19,18.625,370400
1995-05-26,18.875,120700
1995-06-02,18.875,115400
1995-06-09,19.125,205100
1995-06-16,19.0,113800
1995-06-23,20.125,323700
1995-06-30,20.125,202500
1995-07-07,20.0,218100
1995-07-14,20.875,187100
1995-07-21,20.75,238800
1995-07-28,21.75,143500
1995-08-04,21.75,193900
1995-08-11,22.25,400500
1995-08-18,22.375,122300
1995-08-25,22.625,207000
1995-09-01,22.75,81400
1995-09-08,22.75,301500
1995-09-15,22.875,305700
1995-09-22,22.625,94200
1995-09-29,22.5,366600
1995-10-06,22.0,290400
1995-10-13,22.125,159900
1995-10-20,19.0,447800
1995-10-27,18.75,243800
1995-11-03,19.125,302400
1995-11-10,18.875,120100
1995-11-17,19.375,91000
1995-11-24,19.125,147100
1995-12-01,19.0,175400
1995-12-08,18.0,126800
1995-12-15,16.375,264000
1995-12-22,16.625,651700
1995-12-29,17.125,246400
1996-01-05,17.375,153000
1996-01-12,16.375,504700
1996-01-19,16.125,511300
1996-01-26,16.125,321200
1996-02-02,17.5,157400
1996-02-09,18.0,111800
1996-02-16,17.625,81900
1996-02-23,17.0,346600
1996-03-01,16.5,109400
1996-03-08,16.5,123000
1996-03-15,16.875,182700
1996-03-22,16.625,165500
1996-03-29,17.375,264900
1996-04-05,16.625,104000
1996-04-12,16.875,187500
1996-04-19,16.875,438100
1996-04-26,16.625,126300
1996-05-03,17.375,264800
1996-05-10,17.375,278400
1996-05-17,18.375,168600
1996-05-24,18.0,96400
1996-05-31,17.625,84400
1996-06-07,17.75,140000
1996-06-14,17.625,99700
1996-06-21,17.625,178800
1996-06-28,18.0,270000
1996-07-05,18.125,177100
1996-07-12,18.25,140400
1996-07-19,18.25,177000
1996-07-26,17.75,148700
1996-08-02,18.5,226800
1996-08-09,18.5,111800
1996-08-16,18.375,325700
1996-08-23,18.5,268500
1996-08-30,18.25,270200
1996-09-06,17.75,123900
1996-09-13,17.75,151300
1996-09-20,16.875,234900
1996-09-27,16.875,229800
1996-10-04,17.625,232100
1996-10-11,18.125,180300
1996-10-18,18.625,370900
1996-10-25,18.625,175500
1996-11-01,19.25,191900
1996-11-08,18.875,218000
1996-11-15,19.0,137300
1996-11-22,18.75,118300
1996-11-29,18.25,74600
1996-12-06,18.125,133400
1996-12-13,18.125,135100
1996-12-20,18.125,138200
1996-12-27,18.0,117700
1997-01-03,18.125,100400
1997-01-10,18.25,159200
1997-01-17,17.875,141700
1997-01-24,17.375,117400
1997-01-31,16.625,340100
1997-02-07,16.75,505600
1997-02-14,16.875,382500
1997-02-21,16.75,199600
1997-02-28,17.125,196500
1997-03-07,16.875,174300
1997-03-14,17.0,143200
1997-03-21,16.5,182600
1997-03-28,17.0,186400
1997-04-04,16.625,92300
1997-04-11,16.125,127500
1997-04-18,16.125,422800
1997-04-25,15.75,241300
1997-05-02,16.5,185900
1997-05-09,16.75,210100
1997-05-16,16.75,106900
1997-05-23,17.0,129900
1997-05-30,17.5,331300
1997-06-06,17.375,148200
1997-06-13,18.062999725341797,143100
1997-06-20,17.625,177900
1997-06-27,17.687999725341797,251100
1997-07-04,18.125,252900
1997-07-11,18.687999725341797,289900
1997-07-18,19.25,334800
1997-07-25,18.687999725341797,592500
1997-08-01,18.687999725341797,227400
1997-08-08,18.812999725341797,296900
1997-08-15,19.625,484200
1997-08-22,19.875,178700
1997-08-29,20.687999725341797,514600
1997-09-05,21.125,253500
1997-09-12,20.75,229900
1997-09-19,22.125,401500
1997-09-26,21.0,286800
1997-10-03,21.125,209900
1997-10-10,20.5,197000
1997-10-17,21.625,597100
1997-10-24,21.062999725341797,225100
1997-10-31,19.75,334400
1997-11-07,18.625,186600
1997-11-14,18.75,622700
1997-11-21,19.375,109000
1997-11-28,19.125,110700
1997-12-05,18.875,150800
1997-12-12,18.0,287000
1997-12-19,17.375,203700
1997-12-26,17.75,136000
1998-01-02,18.437999725341797,138900
1998-01-09,17.687999725341797,259100
1998-01-16,18.0,205300
1998-01-23,17.5,74800
1998-01-30,17.187999725341797,165100
1998-02-06,17.625,306200
1998-02-13,17.437999725341797,236200
1998-02-20,18.187999725341797,260600
1998-02-27,17.562999725341797,186400
1998-03-06,17.687999725341797,254400
1998-03-13,18.25,318500
1998-03-20,17.687999725341797,530700
1998-03-27,17.562999725341797,344400
1998-04-03,18.0,460800
1998-04-10,17.562999725341797,212300
1998-04-17,18.687999725341797,324200
1998-04-24,18.187999725341797,261400
1998-05-01,18.25,222200
1998-05-08,17.812999725341797,458700
1998-05-15,17.5,150700
1998-05-22,17.25,226800
1998-05-29,16.312999725341797,336300
1998-06-05,16.687999725341797,165400
1998-06-12,16.0,265000
1998-06-19,15.25,369300
1998-06-26,15.562999725341797,288700
1998-07-03,16.125,360100
1998-07-10,15.875,196700
1998-07-17,15.812999725341797,153000
1998-07-24,15.5,231400
1998-07-31,15.5,176800
1998-08-07,15.187999725341797,172500
1998-08-14,14.5,307900
1998-08-21,13.812999725341797,328700
1998-08-28,12.562999725341797,255400
1998-09-04,11.937999725341797,284400
1998-09-11,12.125,330600
1998-09-18,12.375,234100
1998-09-25,12.75,389000
1998-10-02,12.75,307800
1998-10-09,11.812999725341797,282100
1998-10-16,11.875,283200
1998-10-23,11.937999725341797,344500
1998-10-30,12.312999725341797,261500
1998-11-06,13.5,329400
1998-11-13,12.875,255000
1998-11-20,12.5,321100
1998-11-27,13.125,233700
1998-12-04,12.937999725341797,238700
1998-12-11,12.937999725341797,283100
1998-12-18,12.0,417500
1998-12-25,12.0,405600
1999-01-01,12.375,336400
1999-01-08,12.5,433000
1999-01-15,12.125,489600
1999-01-22,11.5,169000
1999-01-29,11.375,387000
1999-02-05,10.937999725341797,778200
1999-02-12,10.25,392600
1999-02-19,10.312999725341797,749700
1999-02-26,10.812999725341797,594200
1999-03-05,10.625,245400
1999-03-12,10.625,150300
1999-03-19,10.812999725341797,363700
1999-03-26,10.562999725341797,201900
1999-04-02,11.0,214500
1999-04-09,11.062999725341797,402800
1999-04-16,13.125,512500
1999-04-23,13.375,383600
1999-04-30,12.812999725341797,267500
1999-05-07,13.812999725341797,323200
1999-05-14,12.75,165900
1999-05-21,13.625,315200
1999-05-28,13.312999725341797,202400
1999-06-04,13.625,321700
1999-06-11,13.687999725341797,474100
1999-06-18,14.125,237000
1999-06-25,13.875,229000
1999-07-02,15.312999725341797,446200
1999-07-09,15.687999725341797,275000
1999-07-16,15.875,404500
1999-07-23,15.125,338900
1999-07-30,13.937999725341797,584800
1999-08-06,13.937999725341797,312600
1999-08-13,15.0,271600
1999-08-20,14.5,193900
1999-08-27,14.187999725341797,154200
1999-09-03,14.062999725341797,239800
1999-09-10,14.437999725341797,115300
1999-09-17,15.437999725341797,315800
1999-09-24,14.875,890500
1999-10-01,15.75,273200
1999-10-08,15.0,202200
1999-10-15,14.875,275700
