Date,Close,Volume
1995-01-06,45.25,428800
1995-01-13,46.75,615100
1995-01-20,46.75,765400
1995-01-27,48.625,473700
1995-02-03,48.75,831600
1995-02-10,48.75,573900
1995-02-17,48.125,663100
1995-02-24,48.5,473800
1995-03-03,47.625,826400
1995-03-10,50.5,3056400
1995-03-17,52.0,959400
1995-03-24,52.375,789300
1995-03-31,51.625,799300
1995-04-07,51.75,803600
1995-04-14,50.75,540500
1995-04-21,50.625,671300
1995-04-28,51.375,502500
1995-05-05,51.25,732200
1995-05-12,49.25,780300
1995-05-19,48.25,1582300
1995-05-26,47.75,1234000
1995-06-02,49.0,1097100
1995-06-09,49.375,932700
1995-06-16,51.0,1107200
1995-06-23,50.75,504300
1995-06-30,49.75,553800
1995-07-07,49.5,500700
1995-07-14,50.625,914000
1995-07-21,51.625,761700
1995-07-28,52.875,641600
1995-08-04,52.75,700400
1995-08-11,51.375,422000
1995-08-18,49.0,1140300
1995-08-25,48.0,538000
1995-09-01,47.875,559700
1995-09-08,47.875,597400
1995-09-15,48.75,1492600
1995-09-22,47.5,1305600
1995-09-29,48.25,2458800
1995-10-06,48.0,651800
1995-10-13,47.375,1182600
1995-10-20,48.125,898100
1995-10-27,47.5,899400
1995-11-03,48.875,843400
1995-11-10,48.875,606400
1995-11-17,51.125,853600
1995-11-24,50.75,322100
1995-12-01,51.75,724400
1995-12-08,54.625,642900
1995-12-15,51.5,1923000
1995-12-22,49.25,1032800
1995-12-29,48.0,695300
1996-01-05,48.0,1619300
1996-01-12,47.875,1161000
1996-01-19,48.0,1157600
1996-01-26,49.625,981800
1996-02-02,48.375,970300
1996-02-09,50.5,1136800
1996-02-16,49.75,684500
1996-02-23,51.375,439700
1996-03-01,51.25,832800
1996-03-08,49.75,675300
1996-03-15,48.875,874200
1996-03-22,49.375,863000
1996-03-29,47.875,770100
1996-04-05,49.625,680800
1996-04-12,46.0,1960300
1996-04-19,47.75,2515000
1996-04-26,49.125,1125100
1996-05-03,47.5,911500
1996-05-10,48.5,1045000
1996-05-17,49.375,1088200
1996-05-24,50.0,688200
1996-05-31,48.625,554800
1996-06-07,49.0,853400
1996-06-14,49.75,1365600
1996-06-21,50.75,1156100
1996-06-28,47.625,1919700
1996-07-05,45.875,675200
1996-07-12,44.75,2331600
1996-07-19,43.75,1637100
1996-07-26,43.0,1137300
1996-08-02,44.375,969900
1996-08-09,45.0,1025300
1996-08-16,45.0,826700
1996-08-23,44.25,590700
1996-08-30,43.0,488000
1996-09-06,44.125,793700
1996-09-13,44.0,2568300
1996-09-20,44.25,1912300
1996-09-27,43.75,1111100
1996-10-04,43.375,1163000
1996-10-11,43.375,895300
1996-10-18,43.0,933500
1996-10-25,41.75,952300
1996-11-01,41.5,1306800
1996-11-08,42.75,967500
1996-11-15,44.125,1510800
1996-11-22,44.125,896100
1996-11-29,45.5,927600
1996-12-06,45.0,1490200
1996-12-13,46.0,1136200
1996-12-20,47.0,1028200
1996-12-27,46.375,546800
1997-01-03,45.25,615900
1997-01-10,44.25,1600200
1997-01-17,45.375,1889500
1997-01-24,45.375,1389400
1997-01-31,44.375,1941800
1997-02-07,46.0,1523300
1997-02-14,46.125,1252600
1997-02-21,46.125,1188800
1997-02-28,46.375,941000
1997-03-07,46.75,880500
1997-03-14,46.625,1221000
1997-03-21,44.75,940600
1997-03-28,43.625,1041800
1997-04-04,41.875,1209800
1997-04-11,40.5,861200
1997-04-18,41.75,868000
1997-04-25,40.75,958500
1997-05-02,43.0,959100
1997-05-09,43.5,1088600
1997-05-16,43.375,907200
1997-05-23,44.25,1060900
1997-05-30,44.375,550500
