Date,Close,Volume
1995-01-06,22.0,167600
1995-01-13,22.25,457600
1995-01-20,21.75,161200
1995-01-27,19.75,566100
1995-02-03,22.75,868400
1995-02-10,23.75,740500
1995-02-17,25.75,624100
1995-02-24,25.25,334300
1995-03-03,25.375,242100
1995-03-10,25.5,111800
1995-03-17,26.75,536200
1995-03-24,26.0,222900
1995-03-31,23.5,310100
1995-04-07,24.5,163600
1995-04-14,24.5,289400
1995-04-21,24.0,270300
1995-04-28,25.25,186700
1995-05-05,29.25,585500
1995-05-12,26.5,291800
1995-05-19,28.0,603900
1995-05-26,29.25,100000
1995-06-02,29.0,83500
1995-06-09,29.5,80400
1995-06-16,31.75,267600
1995-06-23,30.875,248900
1995-06-30,31.25,271400
1995-07-07,33.25,122600
1995-07-14,33.25,254500
1995-07-21,24.25,2788100
1995-07-28,24.25,1293300
1995-08-04,21.0,661600
1995-08-11,22.0,891300
1995-08-18,26.0,664500
1995-08-25,24.25,345100
1995-09-01,24.5,152100
1995-09-08,26.375,504300
1995-09-15,26.0,877100
1995-09-22,27.75,248500
1995-09-29,27.75,842800
1995-10-06,26.75,272900
1995-10-13,27.25,408300
1995-10-20,26.0,351600
1995-10-27,27.0,1046900
1995-11-03,31.25,386900
1995-11-10,32.0,178200
1995-11-17,30.5,275800
1995-11-24,28.0,88900
1995-12-01,28.25,99900
1995-12-08,27.5,727300
1995-12-15,28.5,84100
1995-12-22,30.0,124400
1995-12-29,33.75,215600
1996-01-05,32.25,177900
1996-01-12,30.25,266200
1996-01-19,37.75,1782800
1996-01-26,39.625,394700
1996-02-02,42.0,692100
1996-02-09,39.75,524500
1996-02-16,40.25,219600
1996-02-23,43.5,283100
1996-03-01,43.5,272400
1996-03-08,42.75,301000
1996-03-15,45.25,418200
1996-03-22,50.75,292200
1996-03-29,44.75,279900
1996-04-05,48.25,514300
1996-04-12,47.0,573500
1996-04-19,50.5,554800
1996-04-26,50.3129997253418,226300
1996-05-03,52.625,1247600
1996-05-10,54.0,504900
1996-05-17,53.625,127000
1996-05-24,54.25,734300
1996-05-31,34.0,2993500
1996-06-07,32.5,1285800
1996-06-14,33.0,801500
1996-06-21,30.75,326500
1996-06-28,28.375,461500
1996-07-05,33.0,334200
1996-07-12,30.125,193800
1996-07-19,31.25,685400
1996-07-26,33.5,183700
1996-08-02,35.0,487200
1996-08-09,36.0,316100
1996-08-16,34.75,526900
1996-08-23,33.5,520600
1996-08-30,34.5,326400
1996-09-06,31.375,372900
1996-09-13,21.5,1821500
1996-09-20,21.0,694300
1996-09-27,27.0,1192200
1996-10-04,25.0,507900
1996-10-11,23.5,265000
1996-10-18,21.5,309800
1996-10-25,15.625,3147500
1996-11-01,16.0,1131300
1996-11-08,20.125,1245800
1996-11-15,20.25,1217600
1996-11-22,17.25,454200
1996-11-29,19.5,248700
1996-12-06,19.0,453100
1996-12-13,18.875,337300
1996-12-20,17.375,519900
1996-12-27,18.0,244300
1997-01-03,18.75,373300
1997-01-10,19.0,235900
1997-01-17,19.0,249300
1997-01-24,20.5,356500
1997-01-31,23.25,1186900
1997-02-07,19.25,829900
1997-02-14,17.937999725341797,290800
1997-02-21,17.75,195500
1997-02-28,17.125,164000
1997-03-07,22.25,1065300
1997-03-14,19.5,1330600
1997-03-21,19.375,372800
1997-03-28,19.625,201000
1997-04-04,19.25,215300
1997-04-11,21.125,262100
1997-04-18,20.75,431500
1997-04-25,21.0,546800
1997-05-02,22.25,451100
1997-05-09,24.75,832300
1997-05-16,24.75,688200
1997-05-23,24.5,434000
1997-05-30,26.875,414300
1997-06-06,27.25,406100
1997-06-13,26.5,282700
1997-06-20,27.25,774400
1997-06-27,25.875,508200
1997-07-04,26.0,143900
1997-07-11,26.0,327800
1997-07-18,25.125,469300
1997-07-25,23.0,392900
1997-08-01,23.375,835400
1997-08-08,22.437999725341797,670500
1997-08-15,23.375,747000
1997-08-22,23.75,372000
1997-08-29,24.0,205700
1997-09-05,26.875,622900
1997-09-12,25.375,260100
1997-09-19,25.437999725341797,294900
1997-09-26,24.5,458800
1997-10-03,23.562999725341797,228000
1997-10-10,25.5,356300
1997-10-17,24.0,469800
1997-10-24,21.25,905000
1997-10-31,20.5,757100
1997-11-07,20.25,265600
1997-11-14,19.0,394900
1997-11-21,17.937999725341797,683000
1997-11-28,18.0,831600
1997-12-05,20.75,415700
1997-12-12,17.125,566000
1997-12-19,16.437999725341797,730600
1997-12-26,17.75,457400
1998-01-02,18.875,286600
1998-01-09,18.0,154000
1998-01-16,16.875,209800
1998-01-23,16.062999725341797,334800
1998-01-30,15.875,452000
1998-02-06,19.937999725341797,1181700
1998-02-13,21.125,471000
1998-02-20,21.375,275400
1998-02-27,21.125,230700
1998-03-06,21.625,253200
1998-03-13,21.375,211600
1998-03-20,19.812999725341797,234700
1998-03-27,19.437999725341797,200400
1998-04-03,19.375,295400
1998-04-10,20.0,278200
1998-04-17,19.25,267100
1998-04-24,15.562999725341797,1196600
1998-05-01,15.375,1079100
1998-05-08,16.5,954400
1998-05-15,16.625,807300
1998-05-22,16.125,357400
1998-05-29,15.437999725341797,197200
1998-06-05,15.375,173300
1998-06-12,13.625,201100
1998-06-19,13.0,329800
1998-06-26,12.875,149900
1998-07-03,13.5,114200
1998-07-10,13.375,273100
1998-07-17,13.062999725341797,194700
1998-07-24,11.375,283500
1998-07-31,9.968999862670898,375800
1998-08-07,10.0,300400
1998-08-14,9.75,109800
1998-08-21,10.125,237600
1998-08-28,9.5,237500
1998-09-04,6.875,659800
1998-09-11,7.125,331400
1998-09-18,7.063000202178955,257900
1998-09-25,6.5,179400
1998-10-02,6.0,233600
1998-10-09,5.25,284900
1998-10-16,4.656000137329102,1452000
1998-10-23,4.875,475500
1998-10-30,7.75,1188000
1998-11-06,7.625,809900
1998-11-13,7.125,263400
1998-11-20,6.875,407400
1998-11-27,7.0,294100
1998-12-04,6.688000202178955,289200
1998-12-11,6.5,428700
1998-12-18,7.0,568300
1998-12-25,7.375,307600
1999-01-01,7.188000202178955,503200
1999-01-08,8.437999725341797,343400
1999-01-15,8.0,731100
1999-01-22,7.875,235800
1999-01-29,7.688000202178955,202800
1999-02-05,9.375,589700
1999-02-12,9.562999725341797,406100
1999-02-19,8.687999725341797,189700
1999-02-26,7.0,356300
1999-03-05,7.0,545000
1999-03-12,8.875,1063100
1999-03-19,8.8125,415000
1999-03-26,9.125,377000
1999-04-02,9.375,333500
1999-04-09,9.062999725341797,226500
1999-04-16,9.5,1025600
1999-04-23,8.812999725341797,174900
1999-04-30,8.25,261300
1999-05-07,8.625,179500
1999-05-14,8.781000137329102,440700
1999-05-21,8.625,265600
1999-05-28,8.312999725341797,125100
1999-06-04,7.5625,293600
1999-06-11,7.438000202178955,240500
1999-06-18,8.75,299800
1999-06-25,7.25,299800
1999-07-02,8.312999725341797,589100
1999-07-09,8.0,175800
1999-07-16,8.75,323300
1999-07-23,7.375,197800
1999-07-30,7.65625,89000
1999-08-06,6.75,164500
1999-08-13,7.5,159500
1999-08-20,6.5,116600
1999-08-27,6.063000202178955,117900
1999-09-03,6.96875,116300
1999-09-10,6.125,102000
1999-09-17,6.063000202178955,137700
1999-09-24,5.938000202178955,185600
1999-10-01,6.625,148100
1999-10-08,6.125,243300
1999-10-15,5.75,140100
1999-10-22,5.375,354400
1999-10-29,4.6875,360700
1999-11-05,4.375,353700
1999-11-12,6.5,557600
1999-11-19,6.0,515700
1999-11-26,5.688000202178955,236800
1999-12-03,5.75,483000
1999-12-10,5.688000202178955,590700
1999-12-17,5.5,479200
1999-12-24,4.5625,337100
1999-12-31,6.125,991700
2000-01-07,7.125,387200
2000-01-14,6.5,375700
2000-01-21,6.75,151400
2000-01-28,6.875,158200
2000-02-04,5.625,451900
2000-02-11,5.563000202178955,392200
2000-02-18,5.5,350900
2000-02-25,5.375,136400
2000-03-03,6.875,815400
2000-03-10,7.75,341400
2000-03-17,7.75,314000
2000-03-24,7.438000202178955,167600
2000-03-31,6.938000202178955,414800
2000-04-07,6.563000202178955,200500
2000-04-14,6.0,162100
2000-04-21,5.593999862670898,228800
2000-04-28,5.75,212600
2000-05-05,5.5,120400
2000-05-12,5.093999862670898,98400
2000-05-19,5.313000202178955,186700
2000-05-26,5.0,106200
2000-06-02,4.625,177900
2000-06-09,5.281000137329102,442900
2000-06-16,7.0,2640400
2000-06-23,7.75,429500
2000-06-30,8.25,455200
2000-07-07,8.0,226700
2000-07-14,8.0,392800
2000-07-21,7.375,361700
2000-07-28,6.5,186400
2000-08-04,6.125,88800
2000-08-11,5.875,123200
2000-08-18,6.375,119100
2000-08-25,5.813000202178955,76800
2000-09-01,6.0,116300
2000-09-08,6.0,76200
2000-09-15,6.688000202178955,112800
2000-09-22,5.875,59800
2000-09-29,6.125,209400
2000-10-06,6.25,87800
2000-10-13,5.625,91900
2000-10-20,5.875,136400
2000-10-27,5.5,157800
2000-11-03,5.688000202178955,272300
2000-11-10,5.406000137329102,94500
2000-11-17,5.0,253800
2000-11-24,4.75,97900
2000-12-01,4.25,365400
2000-12-08,4.0,572600
2000-12-15,3.562999963760376,301600
2000-12-22,4.5,569900
2000-12-29,3.625,364800
2001-01-05,4.5,1974100
2001-01-12,6.0,210800
2001-01-19,5.75,293500
2001-01-26,6.375,337900
2001-02-02,5.625,163400
2001-02-09,6.438000202178955,95500
2001-02-16,6.875,661900
2001-02-23,7.6875,401800
2001-03-02,9.062999725341797,340100
2001-03-09,9.312999725341797,315500
2001-03-16,9.187999725341797,318900
2001-03-23,9.0,145800
2001-03-30,11.875,1738100
2001-04-06,11.5,952400
2001-04-13,12.649999618530273,379600
2001-04-20,14.0,1097200
2001-04-27,14.760000228881836,871500
2001-05-04,13.930000305175781,401200
2001-05-11,14.0,586900
2001-05-18,14.850000381469727,849700
2001-05-25,13.380000114440918,409600
2001-06-01,11.8100004196167,997200
2001-06-08,14.5,554800
2001-06-15,13.699999809265137,554800
2001-06-22,16.3700008392334,1085800
2001-06-29,18.969999313354492,1809100
2001-07-06,19.139999389648438,656200
2001-07-13,19.899999618530273,1057800
2001-07-20,16.760000228881836,1790300
2001-07-27,18.25,1819600
2001-08-03,19.149999618530273,755900
2001-08-10,18.149999618530273,1226200
2001-08-17,20.010000228881836,1046800
2001-08-24,20.0,759400
2001-08-31,20.030000686645508,1678000
2001-09-07,17.700000762939453,548700
2001-09-14,15.75,253100
2001-09-21,20.040000915527344,1254900
2001-09-28,23.020000457763672,1877900
2001-10-05,22.860000610351562,1459300
2001-10-12,22.6200008392334,1096500
2001-10-19,27.0,2276700
2001-10-26,26.270000457763672,2644600
2001-11-02,28.75,2444200
2001-11-09,26.84000015258789,1899000
2001-11-16,28.799999237060547,1271700
2001-11-23,28.290000915527344,840200
2001-11-30,28.25,973600
2001-12-07,32.0,1916200
2001-12-14,31.100000381469727,872900
2001-12-21,30.049999237060547,1645600
2001-12-28,32.0,652900
2002-01-04,29.399999618530273,5382000
2002-01-11,28.600000381469727,1213400
2002-01-18,29.100000381469727,1151000
2002-01-25,25.899999618530273,1895700
2002-02-01,26.520000457763672,1169000
2002-02-08,24.139999389648438,1428200
2002-02-15,24.299999237060547,1049500
2002-02-22,23.940000534057617,630900
2002-03-01,24.899999618530273,1790200
2002-03-08,27.5,988300
2002-03-15,31.59000015258789,3427800
2002-03-22,30.510000228881836,2102100
2002-03-29,29.75,913200
2002-04-05,30.209999084472656,1917000
2002-04-12,34.2599983215332,2370400
2002-04-19,35.54999923706055,2612300
2002-04-26,31.84000015258789,1842000
2002-05-03,33.95000076293945,1880100
2002-05-10,33.27000045776367,1144900
2002-05-17,31.709999084472656,1627900
2002-05-24,29.75,2195800
2002-05-31,29.020000457763672,925500
2002-06-07,28.5,1337400
2002-06-14,28.540000915527344,829000
2002-06-21,22.860000610351562,4795400
2002-06-28,26.229999542236328,2306600
2002-07-05,26.299999237060547,1472400
2002-07-12,23.770000457763672,1361300
2002-07-19,15.25,7625400
2002-07-26,14.8100004196167,2032952
2002-08-02,14.430000305175781,1444608
2002-08-09,16.100000381469727,1100600
2002-08-16,14.529999732971191,913057
2002-08-23,15.40999984741211,1374200
2002-08-30,13.510000228881836,1720837
2002-09-06,14.069999694824219,939034
2002-09-13,16.780000686645508,2002487
2002-09-20,18.309999465942383,2751528
2002-09-27,19.479999542236328,1530941
2002-10-04,17.200000762939453,1671913
2002-10-11,16.850000381469727,1143300
2002-10-18,21.170000076293945,1689122
2002-10-25,21.450000762939453,1067544
2002-11-01,22.75,1313319
