,close,Stage
1995-01-02,10.355527877807617,
1995-01-09,10.446765899658203,bad sector
1995-01-16,9.625622749328613,bad sector
1995-01-23,9.260669708251953,bad sector
1995-01-30,9.397526741027832,bad sector
1995-02-06,9.443145751953125,bad sector
1995-02-13,9.58000373840332,bad sector
1995-02-20,9.762479782104492,bad sector
1995-02-27,9.351907730102539,bad sector
1995-03-06,9.7168607711792,bad sector
1995-03-13,9.397526741027832,bad sector
1995-03-20,9.306288719177246,bad sector
1995-03-27,9.808098793029785,bad sector
1995-04-03,9.853717803955078,bad sector
1995-04-10,9.944955825805664,bad sector
1995-04-17,9.853717803955078,bad sector
1995-04-24,9.899336814880371,bad sector
1995-05-01,9.671241760253906,bad sector
1995-05-08,10.40114688873291,bad sector
1995-05-15,10.446765899658203,bad sector
1995-05-22,10.355527877807617,bad sector
1995-05-29,10.948575973510742,bad sector
1995-06-05,10.811717987060547,bad sector
1995-06-12,10.766098976135254,bad sector
1995-06-19,11.131052017211914,bad sector
1995-06-26,10.85733699798584,bad sector
1995-07-03,11.815338134765625,bad sector
1995-07-10,11.678481101989746,bad sector
1995-07-17,10.538003921508789,bad sector
1995-07-24,10.674860954284668,bad sector
1995-07-31,10.492384910583496,bad sector
1995-08-07,10.218670845031738,bad sector
1995-08-14,10.309908866882324,bad sector
1995-08-21,10.492384910583496,bad sector
1995-08-28,11.404766082763672,bad sector
1995-09-04,11.678481101989746,bad sector
1995-09-11,11.678481101989746,bad sector
1995-09-18,11.313528060913086,bad sector
1995-09-25,11.359147071838379,bad sector
1995-10-02,10.948575973510742,bad sector
1995-10-09,11.587242126464844,bad sector
1995-10-16,10.948575973510742,bad sector
1995-10-23,10.85733699798584,bad sector
1995-10-30,10.446765899658203,bad sector
1995-11-06,10.40114688873291,bad sector
1995-11-13,10.446765899658203,bad sector
1995-11-20,10.583622932434082,bad sector
1995-11-27,10.538003921508789,bad sector
1995-12-04,10.446765899658203,bad sector
1995-12-11,10.309908866882324,bad sector
1995-12-18,10.811717987060547,bad sector
1995-12-25,10.538003921508789,bad sector
1996-01-01,10.538003921508789,bad sector
1996-01-08,10.127431869506836,bad sector
1996-01-15,10.127431869506836,bad sector
1996-01-22,10.674860954284668,bad sector
1996-01-29,10.90295696258545,bad sector
1996-02-05,11.039813995361328,bad sector
1996-02-12,11.176671028137207,bad sector
